HomeTeam,AwayTeam,HomeGoal,AwayGoal,HomeShots,AwayShots,HomeShotOnTarget,AwayShotOnTarget,HomeCorners,AwayCorners
Man City,QPR,3,2,35,3,24.0,3.0,19,0
Swansea,Liverpool,1,0,13,14,8.0,9.0,6,5
Wigan,Wolves,3,2,14,10,10.0,7.0,9,2
Stoke,Bolton,2,2,12,20,8.0,8.0,5,9
Tottenham,Fulham,2,0,15,10,9.0,7.0,9,3
Everton,Newcastle,3,1,17,11,11.0,5.0,4,3
West Brom,Arsenal,2,3,12,12,8.0,8.0,9,5
Chelsea,Blackburn,2,1,18,8,6.0,5.0,8,2
Sunderland,Man United,0,1,6,17,5.0,9.0,1,9
Norwich,Aston Villa,2,0,21,9,12.0,5.0,9,6
Liverpool,Chelsea,4,1,23,9,13.0,5.0,7,4
Blackburn,Wigan,0,1,12,19,7.0,9.0,5,6
Man United,Swansea,2,0,26,13,18.0,9.0,16,3
Newcastle,Man City,0,2,14,19,9.0,12.0,2,6
QPR,Stoke,1,0,21,8,12.0,1.0,7,3
Wolves,Everton,0,0,7,18,1.0,10.0,3,7
Bolton,West Brom,2,2,11,17,6.0,13.0,4,4
Fulham,Sunderland,2,1,20,12,15.0,7.0,8,2
Aston Villa,Tottenham,1,1,4,21,2.0,10.0,4,19
Arsenal,Norwich,3,3,20,12,13.0,6.0,6,1
Bolton,Tottenham,1,4,14,13,8.0,10.0,4,7
Chelsea,Newcastle,0,2,17,12,6.0,6.0,4,4
Stoke,Everton,1,1,10,11,5.0,4.0,4,6
Liverpool,Fulham,0,1,18,7,5.0,4.0,5,4
Man City,Man United,1,0,12,4,5.0,2.0,8,8
Chelsea,QPR,6,1,25,11,18.0,7.0,8,5
Tottenham,Blackburn,2,0,19,0,8.0,0.0,6,1
West Brom,Aston Villa,0,0,13,8,7.0,5.0,10,3
Sunderland,Bolton,2,2,12,16,6.0,9.0,7,5
Everton,Fulham,4,0,11,6,7.0,5.0,3,5
Stoke,Arsenal,1,1,6,17,4.0,10.0,2,6
Wigan,Newcastle,4,0,10,11,8.0,3.0,4,1
Norwich,Liverpool,0,3,8,15,3.0,9.0,5,7
Swansea,Wolves,4,4,10,15,8.0,9.0,2,6
Aston Villa,Bolton,1,2,17,12,6.0,11.0,9,6
Wolves,Man City,0,2,7,17,4.0,9.0,7,4
Liverpool,West Brom,0,1,28,9,12.0,4.0,15,3
Man United,Everton,4,4,20,17,11.0,10.0,5,2
Bolton,Swansea,1,1,7,20,5.0,12.0,8,10
Aston Villa,Sunderland,0,0,12,10,7.0,5.0,8,5
Fulham,Wigan,2,1,15,9,9.0,5.0,4,0
Blackburn,Norwich,2,0,9,12,6.0,5.0,9,7
Arsenal,Chelsea,0,0,13,13,8.0,7.0,7,7
Newcastle,Stoke,3,0,16,7,11.0,2.0,4,5
QPR,Tottenham,1,0,12,17,5.0,8.0,4,13
Arsenal,Wigan,1,2,18,12,8.0,7.0,9,3
Man United,Aston Villa,4,0,24,10,16.0,4.0,11,4
West Brom,QPR,1,0,15,16,10.0,6.0,6,8
Norwich,Man City,1,6,16,22,8.0,17.0,3,5
Sunderland,Wolves,0,0,15,12,6.0,8.0,8,4
Swansea,Blackburn,3,0,16,7,8.0,2.0,7,3
Wigan,Man United,1,0,11,8,8.0,3.0,7,3
QPR,Swansea,3,0,16,9,8.0,6.0,6,9
Man City,West Brom,4,0,17,4,12.0,1.0,6,2
Wolves,Arsenal,0,3,9,10,6.0,7.0,6,4
Blackburn,Liverpool,2,3,10,16,4.0,12.0,4,4
Tottenham,Norwich,1,2,13,12,9.0,6.0,10,3
Newcastle,Bolton,2,0,8,9,4.0,6.0,6,5
Aston Villa,Stoke,1,1,7,7,3.0,3.0,5,4
Fulham,Chelsea,1,1,11,12,9.0,4.0,7,11
Everton,Sunderland,4,0,22,3,12.0,0.0,5,2
Arsenal,Man City,1,0,12,7,7.0,2.0,7,6
Man United,QPR,2,0,24,9,14.0,7.0,11,5
Bolton,Fulham,0,3,13,11,7.0,8.0,5,3
Sunderland,Tottenham,0,0,12,15,9.0,8.0,11,4
Norwich,Everton,2,2,14,9,11.0,5.0,2,4
West Brom,Blackburn,3,0,9,16,6.0,10.0,8,4
Liverpool,Aston Villa,1,1,21,5,5.0,3.0,11,3
Stoke,Wolves,2,1,14,9,6.0,5.0,3,8
Chelsea,Wigan,2,1,19,13,10.0,7.0,5,3
Swansea,Newcastle,0,2,19,5,13.0,4.0,7,0
Blackburn,Man United,0,2,11,14,6.0,6.0,2,10
Newcastle,Liverpool,2,0,11,9,7.0,6.0,3,6
Tottenham,Swansea,3,1,15,11,10.0,7.0,7,7
Wigan,Stoke,2,0,13,6,11.0,2.0,8,1
Fulham,Norwich,2,1,14,16,9.0,8.0,6,7
QPR,Arsenal,2,1,10,13,8.0,7.0,4,6
Man City,Sunderland,3,3,19,8,10.0,4.0,17,5
Aston Villa,Chelsea,2,4,9,12,5.0,9.0,6,4
Everton,West Brom,2,0,16,9,9.0,5.0,5,2
Wolves,Bolton,2,3,14,19,8.0,11.0,13,4
Man United,Fulham,1,0,19,5,16.0,4.0,7,1
West Brom,Newcastle,1,3,14,10,6.0,7.0,10,4
Bolton,Blackburn,2,1,12,10,6.0,4.0,11,4
Norwich,Wolves,2,1,15,10,11.0,6.0,5,5
Liverpool,Wigan,1,2,12,6,9.0,5.0,6,0
Chelsea,Tottenham,0,0,10,19,5.0,7.0,6,5
Swansea,Everton,0,2,10,15,3.0,8.0,3,3
Arsenal,Aston Villa,3,0,20,3,12.0,2.0,15,5
Sunderland,QPR,3,1,15,10,8.0,6.0,5,2
Stoke,Man City,1,1,10,16,3.0,11.0,5,7
