rank,Team,Pts,GF,GA,GD
0,Man City,88.71,100.29,35.84,64.46
1,Liverpool,81.87,84.56,36.41,48.14
2,Leicester,69.88,65.39,39.54,25.85
3,Man United,67.61,65.78,43.21,22.57
4,Chelsea,65.47,71.95,51.94,20.01
5,Tottenham,60.7,61.97,50.16,11.81
6,Wolves,59.38,50.13,40.72,9.41
7,Arsenal,54.62,53.33,50.97,2.36
8,Sheffield United,52.1,38.59,39.13,-0.54
9,Burnley,49.69,41.98,46.35,-4.37
10,Southampton,48.12,52.7,60.85,-8.15
11,Everton,46.07,46.1,56.79,-10.69
12,Brighton,44.37,39.08,51.3,-12.22
13,Crystal Palace,43.6,33.33,45.53,-12.2
14,Newcastle,42.58,39.49,54.74,-15.26
15,West Ham,41.94,45.28,62.96,-17.68
16,Aston Villa,38.51,39.95,62.51,-22.56
17,Bournemouth,37.59,42.19,67.13,-24.94
18,Watford,34.61,33.95,61.82,-27.86
19,Norwich,23.93,27.96,76.1,-48.14
