rank,Team,Pts,GF,GA,GD
1,Man City,86.4,95.18,35.7,59.48
2,Arsenal,84.62,87.87,33.62,54.25
3,Liverpool,77.96,84.78,42.08,42.7
4,Newcastle,63.89,80.73,61.92,18.81
5,Tottenham,62.78,76.73,60.09,16.64
6,Chelsea,61.98,77.72,62.38,15.34
7,Aston Villa,60.89,74.48,61.16,13.32
8,Crystal Palace,52.7,57.62,57.91,-0.29
9,Man United,51.67,57.33,59.33,-2.0
10,Fulham,50.77,56.86,60.35,-3.49
11,Brighton,49.02,54.15,60.36,-6.21
12,Everton,47.75,42.69,49.54,-6.86
13,West Ham,47.32,61.68,71.81,-10.13
14,Wolves,46.48,53.6,64.18,-10.58
15,Brentford,46.2,54.18,65.34,-11.17
16,Bournemouth,44.55,52.45,66.32,-13.87
17,Nott'm Forest,40.05,47.14,68.31,-21.18
18,Luton,36.16,54.35,85.42,-31.07
19,Burnley,33.0,41.71,75.52,-33.81
20,Sheffield United,18.17,34.77,104.66,-69.89
