rank,Team,Pts,GF,GA,GD
1,Tottenham,87.01,84.79,27.74,57.05
2,Chelsea,80.92,83.99,36.82,47.16
3,Man City,75.35,78.69,41.61,37.08
4,Arsenal,73.82,75.93,41.8,34.13
5,Liverpool,72.08,77.18,45.57,31.61
6,Everton,65.3,60.94,41.92,19.01
7,Man United,64.97,53.75,35.94,17.81
8,Southampton,49.72,43.2,47.65,-4.45
9,Stoke,47.02,40.9,49.31,-8.41
10,West Brom,45.94,40.0,49.99,-10.0
11,Bournemouth,45.33,52.89,66.05,-13.15
12,West Ham,45.3,50.55,63.38,-12.83
13,Leicester,44.89,47.9,61.01,-13.11
14,Crystal Palace,42.88,48.97,65.91,-16.94
15,Burnley,42.7,39.75,55.07,-15.33
16,Watford,40.74,43.47,63.15,-19.69
17,Swansea,40.22,46.95,68.44,-21.49
18,Middlesbrough,37.04,30.59,53.15,-22.56
19,Sunderland,27.92,30.25,71.03,-40.78
20,Hull,26.84,33.55,78.66,-45.11
