rank,Team,Pts,GF,GA,GD
1,Man City,88.53,101.08,36.49,64.59
2,Liverpool,79.15,100.7,52.95,47.74
3,Chelsea,75.93,70.66,35.02,35.64
4,Arsenal,71.94,66.87,37.82,29.06
5,Man United,65.87,63.42,43.77,19.65
6,Everton,64.29,59.8,42.85,16.95
7,Tottenham,59.28,53.29,44.06,9.22
8,Southampton,56.88,53.64,47.99,5.65
9,Swansea,53.21,51.65,51.61,0.04
10,Stoke,49.53,45.19,50.41,-5.22
11,West Ham,45.02,39.3,50.82,-11.52
12,Newcastle,43.63,43.74,58.42,-14.68
13,West Brom,42.82,45.48,61.92,-16.44
14,Sunderland,42.46,44.09,60.89,-16.8
15,Crystal Palace,41.95,33.49,48.68,-15.19
16,Aston Villa,40.91,42.56,61.78,-19.22
17,Hull,39.51,32.99,52.09,-19.1
18,Norwich,34.85,30.03,56.34,-26.31
19,Fulham,28.83,40.41,83.73,-43.32
20,Cardiff,28.57,33.61,74.36,-40.76
