rank,Team,Pts,GF,GA,GD
1,Man City,92.32,105.69,31.98,73.7
2,Liverpool,84.19,82.16,30.76,51.4
3,Tottenham,78.78,74.94,33.95,40.98
4,Man United,76.68,67.39,31.42,35.97
5,Arsenal,66.58,70.7,49.33,21.37
6,Chelsea,66.35,62.64,42.6,20.04
7,Burnley,56.92,41.75,36.6,5.15
8,Leicester,55.36,59.95,57.23,2.72
9,Newcastle,47.35,39.4,48.09,-8.69
10,Everton,44.79,41.64,54.82,-13.18
11,Bournemouth,42.1,43.58,61.79,-18.2
12,Watford,41.97,45.32,64.11,-18.79
13,Southampton,41.76,38.74,56.49,-17.75
14,West Ham,41.49,48.46,68.8,-20.34
15,Crystal Palace,41.44,40.85,59.64,-18.79
16,West Brom,37.54,35.84,60.36,-24.52
17,Brighton,37.34,31.11,54.5,-23.39
18,Stoke,35.66,37.11,65.6,-28.49
19,Huddersfield,32.9,26.43,56.06,-29.62
20,Swansea,32.51,24.93,54.51,-29.58
