rank,Team,Pts,GF,GA,GD
1,Man City,93.74,97.29,24.47,72.82
2,Liverpool,89.17,93.19,29.77,63.42
3,Chelsea,75.08,73.91,38.39,35.52
4,Tottenham,72.0,68.87,38.96,29.91
5,Arsenal,62.53,58.29,43.74,14.55
6,West Ham,59.15,60.63,51.14,9.49
7,Crystal Palace,55.97,51.87,47.37,4.5
8,Leicester,54.96,60.5,57.78,2.72
9,Man United,53.27,56.39,56.3,0.08
10,Brighton,53.21,45.5,44.95,0.55
11,Aston Villa,52.95,52.92,53.18,-0.26
12,Wolves,48.73,39.33,44.97,-5.64
13,Brentford,45.65,47.78,59.66,-11.87
14,Newcastle,43.41,42.94,57.84,-14.89
15,Southampton,39.03,44.57,67.84,-23.27
16,Burnley,38.15,33.48,55.19,-21.71
17,Everton,37.0,41.79,68.22,-26.43
18,Leeds,33.76,40.94,73.69,-32.75
19,Watford,28.89,36.15,77.71,-41.56
20,Norwich,20.64,24.3,79.49,-55.19
