rank,Team,Pts,GF,GA,GD
0,Man City,85.89,82.32,28.93,53.38
1,Liverpool,69.74,68.67,42.5,26.17
2,Tottenham,68.24,66.64,42.96,23.68
3,Man United,66.78,71.43,49.34,22.09
4,Leicester,64.98,68.31,49.32,18.99
5,West Ham,64.16,61.92,44.74,17.19
6,Chelsea,62.73,56.34,41.67,14.67
7,Arsenal,59.9,52.25,41.8,10.45
8,Aston Villa,58.91,55.19,46.09,9.11
9,Leeds,56.82,60.32,54.34,5.98
10,Everton,50.2,47.22,50.93,-3.71
11,Brighton,47.98,41.94,48.44,-6.5
12,Newcastle,44.58,47.11,59.95,-12.83
13,Southampton,43.22,47.87,63.19,-15.32
14,Wolves,42.62,37.7,51.87,-14.17
15,Burnley,39.5,32.67,50.63,-17.96
16,Crystal Palace,36.8,38.31,62.76,-24.46
17,Fulham,31.91,25.3,53.62,-28.32
18,West Brom,29.73,37.28,75.66,-38.38
19,Sheffield United,25.1,21.92,61.97,-40.05
