rank,Team,Pts,GF,GA,GD
1,Liverpool,89.72,87.35,25.15,62.2
2,Man City,88.5,92.64,30.47,62.17
3,Tottenham,71.14,67.11,38.54,28.58
4,Chelsea,68.74,59.89,35.89,24.0
5,Arsenal,66.39,71.31,49.42,21.89
6,Man United,57.1,62.95,56.43,6.52
7,Everton,56.12,52.91,47.86,5.05
8,Crystal Palace,56.0,55.47,50.65,4.82
9,Leicester,53.92,52.08,50.42,1.66
10,Wolves,53.74,50.07,48.59,1.47
11,Newcastle,52.19,44.18,44.7,-0.53
12,Watford,48.57,49.83,56.66,-6.83
13,West Ham,46.98,49.01,58.42,-9.41
14,Bournemouth,46.21,54.66,66.24,-11.58
15,Southampton,41.61,45.35,63.59,-18.25
16,Burnley,40.59,46.37,66.76,-20.39
17,Brighton,35.01,34.56,62.07,-27.51
18,Cardiff,34.14,36.74,66.79,-30.04
19,Fulham,25.39,32.49,80.25,-47.76
20,Huddersfield,24.63,26.79,72.86,-46.07
