rank,Team,Pts,GF,GA,GD
1,Man City,86.92,92.9,33.63,59.26
2,Arsenal,77.58,87.49,45.22,42.27
3,Newcastle,72.55,67.62,37.24,30.39
4,Liverpool,69.9,73.63,46.24,27.39
5,Man United,68.46,58.22,35.22,23.0
6,Brighton,64.81,73.24,53.97,19.27
7,Brentford,60.44,58.09,46.68,11.41
8,Tottenham,57.17,67.93,61.53,6.41
9,Aston Villa,56.29,51.96,46.91,5.05
10,Fulham,52.29,53.91,55.19,-1.28
11,Crystal Palace,46.12,41.99,51.93,-9.93
12,Chelsea,45.28,38.77,49.5,-10.73
13,West Ham,44.73,40.18,52.06,-11.88
14,Leicester,44.42,52.25,66.83,-14.58
15,Everton,37.72,36.42,59.47,-23.05
16,Wolves,37.59,32.25,54.2,-21.94
17,Leeds,36.61,49.85,79.09,-29.24
18,Nott'm Forest,32.47,35.62,68.63,-33.01
19,Southampton,32.05,37.16,71.66,-34.5
20,Bournemouth,31.62,34.51,68.82,-34.31
