rank,Team,Pts,GF,GA,GD
1,Man City,17.63,20.1,14.03,6.08
2,Arsenal,16.23,18.69,14.94,3.75
3,Liverpool,14.95,17.55,15.87,1.68
4,Tottenham,12.12,15.83,18.87,-3.04
5,Man United,11.36,13.52,17.49,-3.97
6,Chelsea,11.14,14.04,18.54,-4.5
