Date,Season,HomeTeam,AwayTeam,FTH Goals,FTA Goals,FT Result,HTH Goals,HTA Goals,HT Result,Referee,H Shots,A Shots,H SOT,A SOT,H Fouls,A Fouls,H Corners,A Corners,H Yellow,A Yellow,H Red,A Red,Display_Order,League
4/05/1996,1995/96,Man City,Liverpool,2,2,D,0.0,2.0,A,,,,,,,,,,,,,,19960504,Premier League
4/05/1996,1995/96,Southampton,Wimbledon,0,0,D,0.0,0.0,D,,,,,,,,,,,,,,19960504,Premier League
4/05/1996,1995/96,West Ham,Sheffield Weds,1,1,D,0.0,0.0,D,,,,,,,,,,,,,,19960504,Premier League
4/05/1996,1995/96,Chelsea,Blackburn,2,3,A,1.0,1.0,D,,,,,,,,,,,,,,19960504,Premier League
4/05/1996,1995/96,Newcastle,Tottenham,1,1,D,0.0,0.0,D,,,,,,,,,,,,,,19960504,Premier League
4/05/1996,1995/96,Coventry,Leeds,0,0,D,0.0,0.0,D,,,,,,,,,,,,,,19960504,Premier League
4/05/1996,1995/96,Arsenal,Bolton,2,1,H,0.0,0.0,D,,,,,,,,,,,,,,19960504,Premier League
4/05/1996,1995/96,Nott'm Forest,QPR,3,0,H,1.0,0.0,H,,,,,,,,,,,,,,19960504,Premier League
4/05/1996,1995/96,Everton,Aston Villa,1,0,H,0.0,0.0,D,,,,,,,,,,,,,,19960504,Premier League
4/05/1996,1995/96,Middlesbrough,Man United,0,3,A,0.0,1.0,A,,,,,,,,,,,,,,19960504,Premier League
2/05/1996,1995/96,Nott'm Forest,Newcastle,1,1,D,0.0,1.0,A,,,,,,,,,,,,,,19960502,Premier League
2/05/1996,1995/96,Leeds,Tottenham,1,3,A,1.0,2.0,A,,,,,,,,,,,,,,19960502,Premier League
1/05/1996,1995/96,Arsenal,Liverpool,0,0,D,0.0,0.0,D,,,,,,,,,,,,,,19960501,Premier League
29/04/1996,1995/96,Leeds,Newcastle,0,1,A,0.0,1.0,A,,,,,,,,,,,,,,19960429,Premier League
28/04/1996,1995/96,Man United,Nott'm Forest,5,0,H,2.0,0.0,H,,,,,,,,,,,,,,19960428,Premier League
27/04/1996,1995/96,Liverpool,Middlesbrough,1,0,H,0.0,0.0,D,,,,,,,,,,,,,,19960427,Premier League
27/04/1996,1995/96,Sheffield Weds,Everton,2,5,A,1.0,3.0,A,,,,,,,,,,,,,,19960427,Premier League
27/04/1996,1995/96,Bolton,Southampton,0,1,A,0.0,1.0,A,,,,,,,,,,,,,,19960427,Premier League
27/04/1996,1995/96,Wimbledon,Coventry,0,2,A,0.0,0.0,D,,,,,,,,,,,,,,19960427,Premier League
27/04/1996,1995/96,Tottenham,Chelsea,1,1,D,0.0,1.0,A,,,,,,,,,,,,,,19960427,Premier League
27/04/1996,1995/96,Aston Villa,Man City,0,1,A,0.0,0.0,D,,,,,,,,,,,,,,19960427,Premier League
27/04/1996,1995/96,Blackburn,Arsenal,1,1,D,1.0,0.0,H,,,,,,,,,,,,,,19960427,Premier League
27/04/1996,1995/96,QPR,West Ham,3,0,H,0.0,0.0,D,,,,,,,,,,,,,,19960427,Premier League
17/04/1996,1995/96,Man United,Leeds,1,0,H,0.0,0.0,D,,,,,,,,,,,,,,19960417,Premier League
17/04/1996,1995/96,Nott'm Forest,Coventry,0,0,D,0.0,0.0,D,,,,,,,,,,,,,,19960417,Premier League
17/04/1996,1995/96,Sheffield Weds,Chelsea,0,0,D,0.0,0.0,D,,,,,,,,,,,,,,19960417,Premier League
17/04/1996,1995/96,Blackburn,Wimbledon,3,2,H,1.0,1.0,D,,,,,,,,,,,,,,19960417,Premier League
17/04/1996,1995/96,Newcastle,Southampton,1,0,H,1.0,0.0,H,,,,,,,,,,,,,,19960417,Premier League
17/04/1996,1995/96,Aston Villa,West Ham,1,1,D,1.0,0.0,H,,,,,,,,,,,,,,19960417,Premier League
16/04/1996,1995/96,Everton,Liverpool,1,1,D,1.0,0.0,H,,,,,,,,,,,,,,19960416,Premier League
