Date,Season,HomeTeam,AwayTeam,FTH Goals,FTA Goals,FT Result,HTH Goals,HTA Goals,HT Result,Referee,H Shots,A Shots,H SOT,A SOT,H Fouls,A Fouls,H Corners,A Corners,H Yellow,A Yellow,H Red,A Red,Display_Order,League
19/05/2001,2000/01,Charlton,Liverpool,0,4,A,0.0,0.0,D,Graham Barber,12.0,16.0,10.0,14.0,7.0,13.0,10.0,10.0,1.0,1.0,0.0,0.0,20010519,Premier League
19/05/2001,2000/01,Southampton,Arsenal,3,2,H,0.0,1.0,A,Paul Taylor,11.0,8.0,7.0,5.0,17.0,10.0,7.0,5.0,1.0,2.0,0.0,0.0,20010519,Premier League
19/05/2001,2000/01,Coventry,Bradford,0,0,D,0.0,0.0,D,Alan Wiley,15.0,10.0,7.0,3.0,15.0,13.0,9.0,3.0,1.0,1.0,0.0,0.0,20010519,Premier League
19/05/2001,2000/01,Derby,Ipswich,1,1,D,1.0,0.0,H,Graham Poll,7.0,13.0,2.0,6.0,14.0,15.0,3.0,11.0,1.0,1.0,0.0,0.0,20010519,Premier League
19/05/2001,2000/01,Tottenham,Man United,3,1,H,1.0,1.0,D,Andy D'Urso,9.0,15.0,3.0,6.0,13.0,15.0,3.0,6.0,0.0,2.0,0.0,0.0,20010519,Premier League
19/05/2001,2000/01,Newcastle,Aston Villa,3,0,H,2.0,0.0,H,Barry Knight,9.0,5.0,5.0,1.0,10.0,14.0,5.0,1.0,0.0,5.0,1.0,1.0,20010519,Premier League
19/05/2001,2000/01,Everton,Sunderland,2,2,D,1.0,1.0,D,Steve Bennett,18.0,11.0,8.0,4.0,12.0,13.0,5.0,6.0,5.0,3.0,0.0,1.0,20010519,Premier League
19/05/2001,2000/01,Man City,Chelsea,1,2,A,1.0,1.0,D,Mike Riley,3.0,9.0,1.0,3.0,22.0,18.0,8.0,7.0,4.0,2.0,0.0,0.0,20010519,Premier League
19/05/2001,2000/01,Middlesbrough,West Ham,2,1,H,2.0,1.0,H,Paul Durkin,19.0,11.0,7.0,5.0,13.0,15.0,5.0,6.0,0.0,0.0,0.0,0.0,20010519,Premier League
19/05/2001,2000/01,Leeds,Leicester,3,1,H,1.0,1.0,D,David Ellaray,24.0,8.0,11.0,5.0,14.0,17.0,12.0,5.0,3.0,4.0,0.0,0.0,20010519,Premier League
15/05/2001,2000/01,Newcastle,Arsenal,0,0,D,0.0,0.0,D,Alan Wiley,12.0,8.0,2.0,1.0,14.0,10.0,4.0,8.0,1.0,0.0,0.0,0.0,20010515,Premier League
13/05/2001,2000/01,Southampton,Man United,2,1,H,2.0,0.0,H,Jeff Winter,14.0,9.0,3.0,6.0,13.0,18.0,4.0,4.0,1.0,1.0,0.0,0.0,20010513,Premier League
13/05/2001,2000/01,Leeds,Bradford,6,1,H,5.0,1.0,H,Andy D'Urso,18.0,13.0,9.0,7.0,20.0,13.0,9.0,7.0,1.0,0.0,0.0,0.0,20010513,Premier League
8/05/2001,2000/01,Liverpool,Chelsea,2,2,D,1.0,1.0,D,Dermot Gallagher,16.0,14.0,8.0,7.0,14.0,21.0,6.0,6.0,1.0,4.0,0.0,0.0,20010508,Premier League
7/05/2001,2000/01,Ipswich,Man City,2,1,H,0.0,0.0,D,Steve Lodge,15.0,11.0,7.0,7.0,8.0,19.0,9.0,2.0,0.0,0.0,0.0,0.0,20010507,Premier League
5/05/2001,2000/01,Chelsea,Everton,2,1,H,2.0,1.0,H,Rob Harris,13.0,9.0,5.0,3.0,19.0,22.0,8.0,6.0,1.0,1.0,0.0,0.0,20010505,Premier League
5/05/2001,2000/01,Leicester,Tottenham,4,2,H,1.0,0.0,H,Mike Dean,19.0,9.0,9.0,4.0,11.0,14.0,6.0,2.0,3.0,2.0,0.0,0.0,20010505,Premier League
5/05/2001,2000/01,West Ham,Southampton,3,0,H,0.0,0.0,D,Clive Wilkes,16.0,12.0,12.0,3.0,18.0,18.0,5.0,1.0,2.0,2.0,0.0,0.0,20010505,Premier League
5/05/2001,2000/01,Sunderland,Charlton,3,2,H,2.0,1.0,H,Steve Dunn,17.0,17.0,11.0,7.0,17.0,7.0,8.0,5.0,1.0,0.0,0.0,0.0,20010505,Premier League
5/05/2001,2000/01,Man United,Derby,0,1,A,0.0,1.0,A,Neale Barry,11.0,10.0,6.0,5.0,13.0,11.0,13.0,1.0,1.0,0.0,0.0,0.0,20010505,Premier League
5/05/2001,2000/01,Bradford,Middlesbrough,1,1,D,1.0,0.0,H,Graham Barber,10.0,14.0,7.0,9.0,25.0,21.0,6.0,6.0,4.0,2.0,0.0,0.0,20010505,Premier League
5/05/2001,2000/01,Liverpool,Newcastle,3,0,H,1.0,0.0,H,Mark Halsey,12.0,6.0,5.0,3.0,11.0,10.0,2.0,3.0,0.0,2.0,0.0,0.0,20010505,Premier League
5/05/2001,2000/01,Aston Villa,Coventry,3,2,H,0.0,2.0,A,Mike Riley,6.0,6.0,4.0,3.0,12.0,23.0,6.0,2.0,2.0,5.0,0.0,0.0,20010505,Premier League
5/05/2001,2000/01,Arsenal,Leeds,2,1,H,1.0,0.0,H,Peter Jones,7.0,4.0,4.0,3.0,21.0,18.0,11.0,2.0,4.0,3.0,0.0,0.0,20010505,Premier League
1/05/2001,2000/01,Newcastle,Southampton,1,1,D,1.0,0.0,H,Steve Lodge,7.0,11.0,5.0,3.0,15.0,17.0,4.0,2.0,2.0,1.0,0.0,0.0,20010501,Premier League
1/05/2001,2000/01,Bradford,Liverpool,0,2,A,0.0,0.0,D,Jeff Winter,15.0,11.0,4.0,10.0,11.0,13.0,7.0,0.0,0.0,2.0,0.0,0.0,20010501,Premier League
30/04/2001,2000/01,Charlton,Ipswich,2,1,H,1.0,1.0,D,Rob Styles,10.0,17.0,7.0,6.0,17.0,11.0,2.0,13.0,0.0,1.0,0.0,0.0,20010430,Premier League
28/04/2001,2000/01,Middlesbrough,Man United,0,2,A,0.0,1.0,A,Steve Lodge,18.0,9.0,3.0,5.0,13.0,21.0,4.0,6.0,2.0,3.0,0.0,0.0,20010428,Premier League
28/04/2001,2000/01,Tottenham,Aston Villa,0,0,D,0.0,0.0,D,Clive Wilkes,7.0,7.0,3.0,4.0,13.0,13.0,5.0,6.0,1.0,0.0,0.0,0.0,20010428,Premier League
28/04/2001,2000/01,Man City,West Ham,1,0,H,1.0,0.0,H,Peter Jones,16.0,12.0,9.0,7.0,19.0,12.0,10.0,10.0,3.0,5.0,0.0,0.0,20010428,Premier League
28/04/2001,2000/01,Newcastle,Leicester,1,0,H,0.0,0.0,D,Graham Poll,20.0,4.0,6.0,3.0,15.0,14.0,12.0,0.0,1.0,1.0,0.0,0.0,20010428,Premier League
28/04/2001,2000/01,Derby,Arsenal,1,2,A,1.0,1.0,D,Graham Barber,6.0,14.0,2.0,9.0,14.0,13.0,4.0,6.0,3.0,4.0,0.0,0.0,20010428,Premier League
28/04/2001,2000/01,Southampton,Sunderland,0,1,A,0.0,0.0,D,Alan Wiley,11.0,6.0,5.0,3.0,15.0,14.0,11.0,2.0,2.0,1.0,0.0,0.0,20010428,Premier League
28/04/2001,2000/01,Coventry,Liverpool,0,2,A,0.0,0.0,D,Steve Bennett,11.0,13.0,4.0,6.0,15.0,11.0,7.0,7.0,3.0,1.0,0.0,0.0,20010428,Premier League
28/04/2001,2000/01,Leeds,Chelsea,2,0,H,0.0,0.0,D,Steve Dunn,16.0,7.0,9.0,5.0,22.0,17.0,7.0,2.0,2.0,5.0,0.0,0.0,20010428,Premier League
