Date,Season,HomeTeam,AwayTeam,FTH Goals,FTA Goals,FT Result,HTH Goals,HTA Goals,HT Result,Referee,H Shots,A Shots,H SOT,A SOT,H Fouls,A Fouls,H Corners,A Corners,H Yellow,A Yellow,H Red,A Red,Display_Order,League
12/05/2019,2018/19,Tottenham,Everton,2,2,D,1.0,0.0,H,A Marriner,11.0,17.0,3.0,9.0,10.0,13.0,7.0,4.0,0.0,2.0,0.0,0.0,20190512,Premier League
12/05/2019,2018/19,Leicester,Chelsea,0,0,D,0.0,0.0,D,A Taylor,9.0,14.0,3.0,4.0,9.0,8.0,4.0,5.0,0.0,1.0,0.0,0.0,20190512,Premier League
12/05/2019,2018/19,Man United,Cardiff,0,2,A,0.0,1.0,A,J Moss,26.0,13.0,10.0,4.0,9.0,6.0,11.0,2.0,3.0,3.0,0.0,0.0,20190512,Premier League
12/05/2019,2018/19,Crystal Palace,Bournemouth,5,3,H,3.0,1.0,H,R East,17.0,16.0,8.0,8.0,11.0,8.0,4.0,4.0,3.0,0.0,0.0,0.0,20190512,Premier League
12/05/2019,2018/19,Southampton,Huddersfield,1,1,D,1.0,0.0,H,L Probert,10.0,10.0,3.0,3.0,8.0,6.0,4.0,3.0,0.0,1.0,0.0,0.0,20190512,Premier League
12/05/2019,2018/19,Brighton,Man City,1,4,A,1.0,2.0,A,M Oliver,6.0,20.0,2.0,9.0,12.0,8.0,2.0,6.0,0.0,0.0,0.0,0.0,20190512,Premier League
12/05/2019,2018/19,Burnley,Arsenal,1,3,A,0.0,0.0,D,M Dean,14.0,17.0,5.0,6.0,11.0,3.0,4.0,5.0,5.0,1.0,0.0,0.0,20190512,Premier League
12/05/2019,2018/19,Watford,West Ham,1,4,A,0.0,2.0,A,C Kavanagh,17.0,16.0,8.0,9.0,10.0,10.0,7.0,2.0,1.0,0.0,1.0,0.0,20190512,Premier League
12/05/2019,2018/19,Fulham,Newcastle,0,4,A,0.0,2.0,A,K Friend,16.0,13.0,2.0,6.0,6.0,8.0,5.0,5.0,1.0,0.0,0.0,0.0,20190512,Premier League
12/05/2019,2018/19,Liverpool,Wolves,2,0,H,1.0,0.0,H,M Atkinson,13.0,7.0,5.0,2.0,3.0,11.0,4.0,1.0,0.0,2.0,0.0,0.0,20190512,Premier League
6/05/2019,2018/19,Man City,Leicester,1,0,H,0.0,0.0,D,M Dean,19.0,7.0,5.0,2.0,12.0,5.0,11.0,0.0,3.0,2.0,0.0,0.0,20190506,Premier League
5/05/2019,2018/19,Huddersfield,Man United,1,1,D,0.0,1.0,A,L Mason,7.0,23.0,3.0,7.0,10.0,10.0,3.0,7.0,1.0,1.0,0.0,0.0,20190505,Premier League
5/05/2019,2018/19,Chelsea,Watford,3,0,H,0.0,0.0,D,P Tierney,19.0,15.0,9.0,3.0,6.0,12.0,6.0,6.0,0.0,1.0,0.0,0.0,20190505,Premier League
5/05/2019,2018/19,Arsenal,Brighton,1,1,D,1.0,0.0,H,A Taylor,20.0,11.0,8.0,5.0,9.0,14.0,16.0,3.0,5.0,2.0,0.0,0.0,20190505,Premier League
4/05/2019,2018/19,Cardiff,Crystal Palace,2,3,A,1.0,2.0,A,M Oliver,18.0,21.0,8.0,7.0,14.0,11.0,10.0,5.0,0.0,0.0,0.0,0.0,20190504,Premier League
4/05/2019,2018/19,Bournemouth,Tottenham,1,0,H,0.0,0.0,D,C Pawson,20.0,11.0,6.0,5.0,11.0,12.0,10.0,6.0,1.0,5.0,0.0,2.0,20190504,Premier League
4/05/2019,2018/19,Wolves,Fulham,1,0,H,0.0,0.0,D,J Moss,19.0,6.0,6.0,2.0,10.0,15.0,7.0,1.0,1.0,3.0,0.0,0.0,20190504,Premier League
4/05/2019,2018/19,Newcastle,Liverpool,2,3,A,1.0,2.0,A,A Marriner,14.0,11.0,7.0,4.0,10.0,4.0,2.0,3.0,1.0,1.0,0.0,0.0,20190504,Premier League
4/05/2019,2018/19,West Ham,Southampton,3,0,H,1.0,0.0,H,S Attwell,17.0,11.0,6.0,1.0,2.0,11.0,2.0,7.0,1.0,1.0,0.0,0.0,20190504,Premier League
3/05/2019,2018/19,Everton,Burnley,2,0,H,2.0,0.0,H,C Kavanagh,20.0,5.0,6.0,1.0,8.0,9.0,8.0,1.0,0.0,2.0,0.0,0.0,20190503,Premier League
28/04/2019,2018/19,Man United,Chelsea,1,1,D,1.0,1.0,D,M Atkinson,7.0,16.0,5.0,3.0,9.0,14.0,6.0,6.0,3.0,2.0,0.0,0.0,20190428,Premier League
28/04/2019,2018/19,Burnley,Man City,0,1,A,0.0,0.0,D,P Tierney,2.0,25.0,0.0,7.0,5.0,7.0,0.0,6.0,1.0,1.0,0.0,0.0,20190428,Premier League
28/04/2019,2018/19,Leicester,Arsenal,3,0,H,0.0,0.0,D,M Oliver,24.0,6.0,12.0,1.0,13.0,13.0,8.0,6.0,3.0,1.0,0.0,1.0,20190428,Premier League
27/04/2019,2018/19,Crystal Palace,Everton,0,0,D,0.0,0.0,D,L Mason,8.0,22.0,0.0,3.0,9.0,15.0,5.0,10.0,2.0,0.0,0.0,0.0,20190427,Premier League
27/04/2019,2018/19,Watford,Wolves,1,2,A,0.0,1.0,A,S Hooper,10.0,11.0,1.0,4.0,10.0,11.0,4.0,5.0,3.0,2.0,0.0,0.0,20190427,Premier League
27/04/2019,2018/19,Fulham,Cardiff,1,0,H,0.0,0.0,D,C Kavanagh,8.0,13.0,2.0,8.0,10.0,8.0,10.0,3.0,0.0,0.0,0.0,0.0,20190427,Premier League
27/04/2019,2018/19,Brighton,Newcastle,1,1,D,0.0,1.0,A,M Dean,9.0,9.0,2.0,1.0,7.0,10.0,7.0,4.0,2.0,3.0,0.0,0.0,20190427,Premier League
27/04/2019,2018/19,Southampton,Bournemouth,3,3,D,1.0,2.0,A,G Scott,22.0,9.0,7.0,5.0,8.0,9.0,9.0,3.0,2.0,1.0,0.0,0.0,20190427,Premier League
27/04/2019,2018/19,Tottenham,West Ham,0,1,A,0.0,0.0,D,A Taylor,14.0,16.0,4.0,7.0,3.0,8.0,2.0,7.0,0.0,2.0,0.0,0.0,20190427,Premier League
26/04/2019,2018/19,Liverpool,Huddersfield,5,0,H,3.0,0.0,H,K Friend,21.0,5.0,7.0,1.0,5.0,14.0,4.0,4.0,0.0,0.0,0.0,0.0,20190426,Premier League
24/04/2019,2018/19,Wolves,Arsenal,3,1,H,3.0,0.0,H,S Attwell,11.0,11.0,3.0,1.0,12.0,9.0,5.0,5.0,2.0,3.0,0.0,0.0,20190424,Premier League
24/04/2019,2018/19,Man United,Man City,0,2,A,0.0,0.0,D,A Marriner,12.0,8.0,1.0,5.0,10.0,10.0,1.0,1.0,2.0,2.0,0.0,0.0,20190424,Premier League
23/04/2019,2018/19,Watford,Southampton,1,1,D,0.0,1.0,A,M Dean,15.0,8.0,4.0,4.0,10.0,14.0,3.0,4.0,5.0,2.0,0.0,0.0,20190423,Premier League
23/04/2019,2018/19,Tottenham,Brighton,1,0,H,0.0,0.0,D,C Kavanagh,29.0,6.0,5.0,1.0,7.0,13.0,6.0,3.0,1.0,2.0,0.0,0.0,20190423,Premier League
22/04/2019,2018/19,Chelsea,Burnley,2,2,D,2.0,2.0,D,K Friend,22.0,6.0,9.0,3.0,9.0,4.0,10.0,1.0,2.0,1.0,0.0,0.0,20190422,Premier League
21/04/2019,2018/19,Arsenal,Crystal Palace,2,3,A,0.0,1.0,A,J Moss,12.0,16.0,5.0,7.0,15.0,12.0,8.0,3.0,4.0,1.0,0.0,0.0,20190421,Premier League
21/04/2019,2018/19,Everton,Man United,4,0,H,2.0,0.0,H,P Tierney,15.0,7.0,8.0,1.0,11.0,7.0,10.0,2.0,1.0,1.0,0.0,0.0,20190421,Premier League
21/04/2019,2018/19,Cardiff,Liverpool,0,2,A,0.0,0.0,D,M Atkinson,7.0,17.0,2.0,6.0,6.0,5.0,5.0,10.0,1.0,1.0,0.0,0.0,20190421,Premier League
20/04/2019,2018/19,Newcastle,Southampton,3,1,H,2.0,0.0,H,A Taylor,15.0,15.0,6.0,3.0,5.0,11.0,4.0,11.0,0.0,2.0,0.0,0.0,20190420,Premier League
20/04/2019,2018/19,Man City,Tottenham,1,0,H,1.0,0.0,H,M Oliver,15.0,10.0,4.0,4.0,11.0,11.0,4.0,4.0,1.0,2.0,0.0,0.0,20190420,Premier League
20/04/2019,2018/19,West Ham,Leicester,2,2,D,1.0,0.0,H,L Probert,11.0,11.0,3.0,5.0,8.0,9.0,6.0,8.0,2.0,0.0,0.0,0.0,20190420,Premier League
