Date,Season,HomeTeam,AwayTeam,FTH Goals,FTA Goals,FT Result,HTH Goals,HTA Goals,HT Result,Referee,H Shots,A Shots,H SOT,A SOT,H Fouls,A Fouls,H Corners,A Corners,H Yellow,A Yellow,H Red,A Red,Display_Order,League
15/05/2005,2004/05,West Brom,Portsmouth,2,0,H,0.0,0.0,D,M Riley,9.0,8.0,5.0,2.0,12.0,13.0,6.0,1.0,0.0,1.0,0.0,0.0,20050515,Premier League
15/05/2005,2004/05,Birmingham,Arsenal,2,1,H,0.0,0.0,D,D Gallagher,9.0,11.0,4.0,5.0,10.0,8.0,3.0,2.0,1.0,0.0,0.0,0.0,20050515,Premier League
15/05/2005,2004/05,Fulham,Norwich,6,0,H,2.0,0.0,H,S Dunn,13.0,2.0,9.0,0.0,11.0,12.0,4.0,13.0,0.0,1.0,0.0,0.0,20050515,Premier League
15/05/2005,2004/05,Southampton,Man United,1,2,A,1.0,1.0,D,S Bennett,11.0,16.0,3.0,8.0,14.0,13.0,5.0,3.0,1.0,2.0,0.0,0.0,20050515,Premier League
15/05/2005,2004/05,Liverpool,Aston Villa,2,1,H,2.0,0.0,H,B Knight,15.0,13.0,7.0,4.0,10.0,16.0,9.0,5.0,0.0,0.0,0.0,0.0,20050515,Premier League
15/05/2005,2004/05,Man City,Middlesbrough,1,1,D,0.0,1.0,A,R Styles,10.0,4.0,5.0,3.0,12.0,15.0,10.0,3.0,2.0,4.0,0.0,0.0,20050515,Premier League
15/05/2005,2004/05,Newcastle,Chelsea,1,1,D,1.0,1.0,D,H Webb,8.0,12.0,4.0,7.0,11.0,17.0,6.0,4.0,4.0,4.0,0.0,0.0,20050515,Premier League
15/05/2005,2004/05,Charlton,Crystal Palace,2,2,D,1.0,0.0,H,M Clattenburg,8.0,9.0,5.0,6.0,14.0,14.0,3.0,8.0,2.0,2.0,0.0,0.0,20050515,Premier League
15/05/2005,2004/05,Tottenham,Blackburn,0,0,D,0.0,0.0,D,A Wiley,11.0,12.0,7.0,8.0,10.0,14.0,5.0,7.0,2.0,2.0,0.0,0.0,20050515,Premier League
15/05/2005,2004/05,Bolton,Everton,3,2,H,0.0,1.0,A,N Barry,16.0,10.0,9.0,5.0,12.0,17.0,5.0,6.0,2.0,1.0,1.0,0.0,20050515,Premier League
