Date,Season,HomeTeam,AwayTeam,FTH Goals,FTA Goals,FT Result,HTH Goals,HTA Goals,HT Result,Referee,H Shots,A Shots,H SOT,A SOT,H Fouls,A Fouls,H Corners,A Corners,H Yellow,A Yellow,H Red,A Red,Display_Order,League
13/05/2012,2011/12,Man City,QPR,3,2,H,1.0,0.0,H,M Dean,35.0,3.0,24.0,3.0,4.0,6.0,19.0,0.0,1.0,1.0,0.0,1.0,20120513,Premier League
13/05/2012,2011/12,Swansea,Liverpool,1,0,H,0.0,0.0,D,M Halsey,13.0,14.0,8.0,9.0,5.0,5.0,6.0,5.0,1.0,1.0,0.0,0.0,20120513,Premier League
13/05/2012,2011/12,Wigan,Wolves,3,2,H,2.0,1.0,H,M Oliver,14.0,10.0,10.0,7.0,15.0,9.0,9.0,2.0,1.0,2.0,0.0,0.0,20120513,Premier League
13/05/2012,2011/12,Stoke,Bolton,2,2,D,1.0,2.0,A,C Foy,12.0,20.0,8.0,8.0,10.0,5.0,5.0,9.0,1.0,1.0,0.0,0.0,20120513,Premier League
13/05/2012,2011/12,Tottenham,Fulham,2,0,H,1.0,0.0,H,P Dowd,15.0,10.0,9.0,7.0,8.0,12.0,9.0,3.0,0.0,2.0,0.0,0.0,20120513,Premier League
13/05/2012,2011/12,Everton,Newcastle,3,1,H,2.0,0.0,H,A Marriner,17.0,11.0,11.0,5.0,15.0,16.0,4.0,3.0,2.0,1.0,0.0,0.0,20120513,Premier League
13/05/2012,2011/12,West Brom,Arsenal,2,3,A,2.0,2.0,D,M Jones,12.0,12.0,8.0,8.0,12.0,10.0,9.0,5.0,0.0,1.0,0.0,0.0,20120513,Premier League
13/05/2012,2011/12,Chelsea,Blackburn,2,1,H,2.0,0.0,H,L Mason,18.0,8.0,6.0,5.0,13.0,4.0,8.0,2.0,1.0,0.0,0.0,0.0,20120513,Premier League
13/05/2012,2011/12,Sunderland,Man United,0,1,A,0.0,1.0,A,H Webb,6.0,17.0,5.0,9.0,14.0,11.0,1.0,9.0,3.0,3.0,0.0,0.0,20120513,Premier League
13/05/2012,2011/12,Norwich,Aston Villa,2,0,H,2.0,0.0,H,M Atkinson,21.0,9.0,12.0,5.0,6.0,10.0,9.0,6.0,1.0,2.0,0.0,0.0,20120513,Premier League
8/05/2012,2011/12,Liverpool,Chelsea,4,1,H,3.0,0.0,H,K Friend,23.0,9.0,13.0,5.0,15.0,13.0,7.0,4.0,2.0,4.0,0.0,0.0,20120508,Premier League
7/05/2012,2011/12,Blackburn,Wigan,0,1,A,0.0,0.0,D,M Clattenburg,12.0,19.0,7.0,9.0,14.0,12.0,5.0,6.0,2.0,1.0,0.0,0.0,20120507,Premier League
6/05/2012,2011/12,Man United,Swansea,2,0,H,2.0,0.0,H,C Foy,26.0,13.0,18.0,9.0,12.0,6.0,16.0,3.0,1.0,0.0,0.0,0.0,20120506,Premier League
