Date,Season,HomeTeam,AwayTeam,FTH Goals,FTA Goals,FT Result,HTH Goals,HTA Goals,HT Result,Referee,H Shots,A Shots,H SOT,A SOT,H Fouls,A Fouls,H Corners,A Corners,H Yellow,A Yellow,H Red,A Red,Display_Order,League
11/05/2014,2013/14,Liverpool,Newcastle,2,1,H,0.0,1.0,A,P Dowd,13.0,8.0,5.0,2.0,8.0,16.0,6.0,2.0,1.0,3.0,0.0,2.0,20140511,Premier League
11/05/2014,2013/14,West Brom,Stoke,1,2,A,0.0,1.0,A,L Probert,17.0,15.0,4.0,4.0,4.0,7.0,11.0,6.0,0.0,0.0,0.0,0.0,20140511,Premier League
11/05/2014,2013/14,Southampton,Man United,1,1,D,1.0,0.0,H,M Dean,15.0,8.0,6.0,2.0,16.0,5.0,6.0,2.0,3.0,2.0,0.0,0.0,20140511,Premier League
11/05/2014,2013/14,Man City,West Ham,2,0,H,1.0,0.0,H,M Atkinson,28.0,3.0,7.0,0.0,7.0,9.0,12.0,1.0,2.0,2.0,0.0,0.0,20140511,Premier League
11/05/2014,2013/14,Fulham,Crystal Palace,2,2,D,0.0,1.0,A,K Friend,15.0,15.0,5.0,6.0,11.0,15.0,6.0,4.0,3.0,1.0,0.0,0.0,20140511,Premier League
11/05/2014,2013/14,Cardiff,Chelsea,1,2,A,1.0,0.0,H,M Oliver,10.0,28.0,4.0,7.0,7.0,9.0,3.0,8.0,1.0,2.0,0.0,0.0,20140511,Premier League
11/05/2014,2013/14,Sunderland,Swansea,1,3,A,0.0,2.0,A,C Foy,20.0,8.0,4.0,4.0,14.0,15.0,6.0,3.0,2.0,3.0,0.0,0.0,20140511,Premier League
11/05/2014,2013/14,Norwich,Arsenal,0,2,A,0.0,0.0,D,L Mason,11.0,14.0,5.0,8.0,6.0,5.0,4.0,4.0,1.0,0.0,0.0,0.0,20140511,Premier League
11/05/2014,2013/14,Hull,Everton,0,2,A,0.0,1.0,A,H Webb,12.0,11.0,3.0,4.0,8.0,8.0,6.0,4.0,0.0,1.0,0.0,0.0,20140511,Premier League
11/05/2014,2013/14,Tottenham,Aston Villa,3,0,H,3.0,0.0,H,J Moss,12.0,4.0,6.0,1.0,11.0,11.0,5.0,1.0,1.0,0.0,0.0,0.0,20140511,Premier League
7/05/2014,2013/14,Sunderland,West Brom,2,0,H,2.0,0.0,H,L Mason,10.0,13.0,4.0,3.0,14.0,12.0,5.0,0.0,0.0,0.0,0.0,0.0,20140507,Premier League
