Date,Season,HomeTeam,AwayTeam,FTH Goals,FTA Goals,FT Result,HTH Goals,HTA Goals,HT Result,Referee,H Shots,A Shots,H SOT,A SOT,H Fouls,A Fouls,H Corners,A Corners,H Yellow,A Yellow,H Red,A Red,Display_Order,League
9/05/2010,2009/10,Burnley,Tottenham,4,2,H,1.0,2.0,A,M Dean,16.0,16.0,12.0,11.0,9.0,8.0,5.0,6.0,0.0,0.0,0.0,0.0,20100509,Premier League
9/05/2010,2009/10,West Ham,Man City,1,1,D,1.0,1.0,D,H Webb,12.0,17.0,8.0,6.0,12.0,7.0,4.0,3.0,2.0,0.0,0.0,0.0,20100509,Premier League
9/05/2010,2009/10,Bolton,Birmingham,2,1,H,1.0,0.0,H,K Friend,14.0,10.0,8.0,5.0,14.0,17.0,3.0,6.0,2.0,5.0,0.0,0.0,20100509,Premier League
9/05/2010,2009/10,Arsenal,Fulham,4,0,H,3.0,0.0,H,M Jones,16.0,5.0,11.0,2.0,11.0,10.0,5.0,2.0,2.0,2.0,0.0,0.0,20100509,Premier League
9/05/2010,2009/10,Hull,Liverpool,0,0,D,0.0,0.0,D,A Marriner,11.0,19.0,6.0,7.0,15.0,11.0,2.0,6.0,1.0,0.0,0.0,0.0,20100509,Premier League
9/05/2010,2009/10,Man United,Stoke,4,0,H,2.0,0.0,H,M Clattenburg,18.0,4.0,13.0,4.0,10.0,4.0,10.0,2.0,2.0,0.0,0.0,0.0,20100509,Premier League
9/05/2010,2009/10,Chelsea,Wigan,8,0,H,2.0,0.0,H,M Atkinson,17.0,4.0,10.0,3.0,14.0,9.0,2.0,3.0,2.0,2.0,0.0,1.0,20100509,Premier League
9/05/2010,2009/10,Aston Villa,Blackburn,0,1,A,0.0,0.0,D,S Bennett,16.0,9.0,12.0,3.0,14.0,12.0,11.0,5.0,2.0,1.0,0.0,0.0,20100509,Premier League
9/05/2010,2009/10,Everton,Portsmouth,1,0,H,0.0,0.0,D,P Walton,21.0,10.0,13.0,4.0,12.0,11.0,14.0,1.0,0.0,0.0,0.0,0.0,20100509,Premier League
9/05/2010,2009/10,Wolves,Sunderland,2,1,H,1.0,1.0,D,L Mason,14.0,11.0,7.0,5.0,11.0,19.0,4.0,1.0,1.0,2.0,0.0,2.0,20100509,Premier League
5/05/2010,2009/10,Man City,Tottenham,0,1,A,0.0,0.0,D,S Bennett,10.0,10.0,5.0,6.0,12.0,14.0,9.0,7.0,0.0,3.0,0.0,0.0,20100505,Premier League
5/05/2010,2009/10,Fulham,Stoke,0,1,A,0.0,0.0,D,P Walton,12.0,5.0,6.0,2.0,7.0,6.0,8.0,3.0,1.0,3.0,0.0,0.0,20100505,Premier League
3/05/2010,2009/10,Wigan,Hull,2,2,D,1.0,1.0,D,P Dowd,13.0,6.0,7.0,3.0,11.0,14.0,8.0,1.0,2.0,0.0,0.0,0.0,20100503,Premier League
3/05/2010,2009/10,Blackburn,Arsenal,2,1,H,1.0,1.0,D,M Atkinson,11.0,6.0,7.0,4.0,19.0,15.0,5.0,8.0,2.0,2.0,0.0,0.0,20100503,Premier League
2/05/2010,2009/10,Sunderland,Man United,0,1,A,0.0,1.0,A,S Bennett,10.0,14.0,2.0,9.0,10.0,9.0,9.0,4.0,3.0,2.0,0.0,0.0,20100502,Premier League
2/05/2010,2009/10,Liverpool,Chelsea,0,2,A,0.0,1.0,A,A Wiley,7.0,15.0,2.0,11.0,7.0,7.0,9.0,5.0,1.0,2.0,0.0,0.0,20100502,Premier League
2/05/2010,2009/10,Fulham,West Ham,3,2,H,1.0,0.0,H,A Marriner,5.0,7.0,3.0,5.0,10.0,14.0,9.0,3.0,0.0,0.0,0.0,0.0,20100502,Premier League
1/05/2010,2009/10,Man City,Aston Villa,3,1,H,2.0,1.0,H,M Clattenburg,17.0,10.0,12.0,6.0,6.0,9.0,13.0,5.0,1.0,2.0,0.0,0.0,20100501,Premier League
1/05/2010,2009/10,Stoke,Everton,0,0,D,0.0,0.0,D,H Webb,12.0,11.0,6.0,9.0,10.0,10.0,6.0,5.0,0.0,0.0,0.0,0.0,20100501,Premier League
1/05/2010,2009/10,Birmingham,Burnley,2,1,H,2.0,0.0,H,P Walton,13.0,12.0,4.0,7.0,11.0,10.0,6.0,8.0,2.0,1.0,0.0,0.0,20100501,Premier League
1/05/2010,2009/10,Portsmouth,Wolves,3,1,H,2.0,1.0,H,M Jones,12.0,18.0,8.0,11.0,10.0,13.0,7.0,9.0,0.0,1.0,0.0,0.0,20100501,Premier League
1/05/2010,2009/10,Tottenham,Bolton,1,0,H,1.0,0.0,H,C Foy,25.0,11.0,12.0,7.0,11.0,10.0,11.0,7.0,0.0,3.0,0.0,0.0,20100501,Premier League
25/04/2010,2009/10,Everton,Fulham,2,1,H,0.0,1.0,A,L Mason,15.0,8.0,9.0,6.0,7.0,12.0,9.0,3.0,0.0,1.0,0.0,0.0,20100425,Premier League
25/04/2010,2009/10,Chelsea,Stoke,7,0,H,3.0,0.0,H,S Bennett,29.0,3.0,18.0,2.0,14.0,12.0,7.0,0.0,0.0,3.0,0.0,0.0,20100425,Premier League
25/04/2010,2009/10,Aston Villa,Birmingham,1,0,H,0.0,0.0,D,M Atkinson,10.0,16.0,6.0,14.0,12.0,16.0,7.0,5.0,1.0,4.0,0.0,0.0,20100425,Premier League
25/04/2010,2009/10,Burnley,Liverpool,0,4,A,0.0,0.0,D,P Dowd,12.0,12.0,6.0,10.0,13.0,11.0,4.0,5.0,2.0,1.0,0.0,0.0,20100425,Premier League
24/04/2010,2009/10,Wolves,Blackburn,1,1,D,0.0,1.0,A,M Clattenburg,14.0,12.0,5.0,8.0,9.0,8.0,4.0,4.0,0.0,1.0,0.0,0.0,20100424,Premier League
24/04/2010,2009/10,West Ham,Wigan,3,2,H,2.0,1.0,H,A Wiley,9.0,12.0,7.0,10.0,9.0,10.0,4.0,5.0,1.0,2.0,0.0,0.0,20100424,Premier League
