Date,Season,HomeTeam,AwayTeam,FTH Goals,FTA Goals,FT Result,HTH Goals,HTA Goals,HT Result,Referee,H Shots,A Shots,H SOT,A SOT,H Fouls,A Fouls,H Corners,A Corners,H Yellow,A Yellow,H Red,A Red,Display_Order,League
21/05/2017,2016/17,Hull,Tottenham,1,7,A,0.0,3.0,A,A Marriner,10.0,19.0,4.0,14.0,14.0,5.0,2.0,3.0,0.0,0.0,0.0,0.0,20170521,Premier League
21/05/2017,2016/17,Swansea,West Brom,2,1,H,0.0,1.0,A,M Dean,12.0,16.0,2.0,5.0,8.0,10.0,7.0,4.0,1.0,1.0,0.0,0.0,20170521,Premier League
21/05/2017,2016/17,Arsenal,Everton,3,1,H,2.0,0.0,H,M Oliver,17.0,22.0,9.0,7.0,10.0,15.0,4.0,6.0,2.0,4.0,1.0,0.0,20170521,Premier League
21/05/2017,2016/17,Chelsea,Sunderland,5,1,H,1.0,1.0,D,N Swarbrick,28.0,7.0,8.0,3.0,8.0,15.0,11.0,1.0,1.0,1.0,0.0,0.0,20170521,Premier League
21/05/2017,2016/17,Burnley,West Ham,1,2,A,1.0,1.0,D,R Madley,9.0,14.0,1.0,4.0,11.0,14.0,2.0,5.0,2.0,2.0,0.0,0.0,20170521,Premier League
21/05/2017,2016/17,Liverpool,Middlesbrough,3,0,H,1.0,0.0,H,M Atkinson,25.0,9.0,10.0,3.0,13.0,8.0,3.0,3.0,0.0,1.0,0.0,0.0,20170521,Premier League
21/05/2017,2016/17,Man United,Crystal Palace,2,0,H,2.0,0.0,H,A Taylor,9.0,6.0,2.0,1.0,16.0,10.0,3.0,6.0,2.0,0.0,0.0,0.0,20170521,Premier League
21/05/2017,2016/17,Southampton,Stoke,0,1,A,0.0,0.0,D,L Probert,14.0,14.0,6.0,3.0,12.0,10.0,4.0,10.0,2.0,4.0,0.0,0.0,20170521,Premier League
21/05/2017,2016/17,Watford,Man City,0,5,A,0.0,4.0,A,J Moss,6.0,15.0,3.0,9.0,12.0,10.0,4.0,5.0,1.0,0.0,0.0,0.0,20170521,Premier League
21/05/2017,2016/17,Leicester,Bournemouth,1,1,D,0.0,1.0,A,l Mason,21.0,10.0,5.0,4.0,11.0,10.0,9.0,1.0,4.0,1.0,0.0,0.0,20170521,Premier League
18/05/2017,2016/17,Leicester,Tottenham,1,6,A,0.0,2.0,A,M Oliver,12.0,26.0,5.0,12.0,11.0,8.0,4.0,4.0,3.0,1.0,0.0,0.0,20170518,Premier League
17/05/2017,2016/17,Southampton,Man United,0,0,D,0.0,0.0,D,M Dean,17.0,11.0,6.0,1.0,7.0,10.0,7.0,3.0,2.0,1.0,0.0,0.0,20170517,Premier League
16/05/2017,2016/17,Man City,West Brom,3,1,H,2.0,0.0,H,C Pawson,21.0,5.0,10.0,2.0,8.0,11.0,7.0,1.0,1.0,2.0,0.0,0.0,20170516,Premier League
16/05/2017,2016/17,Arsenal,Sunderland,2,0,H,0.0,0.0,D,R East,36.0,6.0,13.0,2.0,15.0,10.0,17.0,3.0,4.0,2.0,0.0,0.0,20170516,Premier League
15/05/2017,2016/17,Chelsea,Watford,4,3,H,2.0,1.0,H,L Mason,24.0,9.0,9.0,3.0,7.0,12.0,8.0,3.0,2.0,4.0,0.0,1.0,20170515,Premier League
14/05/2017,2016/17,West Ham,Liverpool,0,4,A,0.0,1.0,A,N Swarbrick,10.0,26.0,3.0,11.0,5.0,10.0,4.0,6.0,2.0,0.0,0.0,0.0,20170514,Premier League
14/05/2017,2016/17,Tottenham,Man United,2,1,H,1.0,0.0,H,J Moss,14.0,8.0,7.0,2.0,14.0,15.0,8.0,3.0,1.0,2.0,0.0,0.0,20170514,Premier League
14/05/2017,2016/17,Crystal Palace,Hull,4,0,H,2.0,0.0,H,M Atkinson,12.0,9.0,4.0,0.0,13.0,14.0,3.0,7.0,3.0,5.0,0.0,0.0,20170514,Premier League
13/05/2017,2016/17,Bournemouth,Burnley,2,1,H,1.0,0.0,H,L Probert,18.0,14.0,6.0,3.0,6.0,11.0,7.0,1.0,0.0,1.0,0.0,0.0,20170513,Premier League
13/05/2017,2016/17,Sunderland,Swansea,0,2,A,0.0,2.0,A,A Marriner,13.0,3.0,4.0,3.0,13.0,6.0,8.0,4.0,4.0,0.0,0.0,0.0,20170513,Premier League
13/05/2017,2016/17,Man City,Leicester,2,1,H,2.0,1.0,H,R Madley,17.0,9.0,5.0,4.0,12.0,16.0,9.0,3.0,3.0,3.0,0.0,0.0,20170513,Premier League
13/05/2017,2016/17,Stoke,Arsenal,1,4,A,0.0,1.0,A,M Dean,10.0,10.0,4.0,6.0,13.0,7.0,7.0,6.0,1.0,2.0,0.0,0.0,20170513,Premier League
13/05/2017,2016/17,Middlesbrough,Southampton,1,2,A,0.0,1.0,A,A Taylor,14.0,14.0,3.0,4.0,19.0,11.0,6.0,3.0,3.0,0.0,0.0,0.0,20170513,Premier League
12/05/2017,2016/17,West Brom,Chelsea,0,1,A,0.0,0.0,D,M Oliver,7.0,24.0,2.0,5.0,13.0,8.0,5.0,8.0,3.0,0.0,0.0,0.0,20170512,Premier League
12/05/2017,2016/17,Everton,Watford,1,0,H,0.0,0.0,D,K Friend,15.0,14.0,6.0,2.0,7.0,11.0,9.0,8.0,0.0,3.0,0.0,0.0,20170512,Premier League
10/05/2017,2016/17,Southampton,Arsenal,0,2,A,0.0,0.0,D,J Moss,14.0,11.0,3.0,4.0,5.0,5.0,8.0,5.0,1.0,2.0,0.0,0.0,20170510,Premier League
8/05/2017,2016/17,Chelsea,Middlesbrough,3,0,H,2.0,0.0,H,C Pawson,21.0,2.0,7.0,1.0,8.0,21.0,8.0,1.0,0.0,2.0,0.0,0.0,20170508,Premier League
7/05/2017,2016/17,Arsenal,Man United,2,0,H,0.0,0.0,D,A Marriner,9.0,10.0,4.0,4.0,14.0,10.0,5.0,9.0,1.0,0.0,0.0,0.0,20170507,Premier League
7/05/2017,2016/17,Liverpool,Southampton,0,0,D,0.0,0.0,D,R Madley,17.0,4.0,8.0,0.0,9.0,4.0,3.0,6.0,1.0,3.0,0.0,0.0,20170507,Premier League
6/05/2017,2016/17,Hull,Sunderland,0,2,A,0.0,0.0,D,N Swarbrick,16.0,12.0,6.0,5.0,10.0,8.0,7.0,4.0,3.0,1.0,0.0,0.0,20170506,Premier League
6/05/2017,2016/17,Leicester,Watford,3,0,H,1.0,0.0,H,R East,11.0,14.0,5.0,7.0,8.0,10.0,10.0,1.0,0.0,0.0,0.0,0.0,20170506,Premier League
6/05/2017,2016/17,Man City,Crystal Palace,5,0,H,1.0,0.0,H,M Oliver,26.0,5.0,12.0,2.0,12.0,8.0,9.0,3.0,1.0,3.0,0.0,0.0,20170506,Premier League
6/05/2017,2016/17,Burnley,West Brom,2,2,D,0.0,0.0,D,M Jones,14.0,11.0,4.0,3.0,9.0,14.0,5.0,8.0,1.0,3.0,0.0,0.0,20170506,Premier League
6/05/2017,2016/17,Bournemouth,Stoke,2,2,D,0.0,1.0,A,P Tierney,12.0,14.0,2.0,3.0,10.0,15.0,0.0,7.0,2.0,0.0,0.0,0.0,20170506,Premier League
6/05/2017,2016/17,Swansea,Everton,1,0,H,1.0,0.0,H,M Atkinson,9.0,8.0,4.0,2.0,5.0,13.0,9.0,5.0,0.0,0.0,0.0,0.0,20170506,Premier League
5/05/2017,2016/17,West Ham,Tottenham,1,0,H,0.0,0.0,D,A Taylor,13.0,11.0,5.0,5.0,8.0,9.0,3.0,7.0,4.0,2.0,0.0,0.0,20170505,Premier League
1/05/2017,2016/17,Watford,Liverpool,0,1,A,0.0,1.0,A,C Pawson,9.0,12.0,2.0,8.0,11.0,9.0,3.0,5.0,3.0,1.0,0.0,0.0,20170501,Premier League
30/04/2017,2016/17,Middlesbrough,Man City,2,2,D,1.0,0.0,H,K Friend,14.0,22.0,6.0,4.0,9.0,9.0,4.0,11.0,4.0,4.0,0.0,0.0,20170430,Premier League
30/04/2017,2016/17,Man United,Swansea,1,1,D,1.0,0.0,H,N Swarbrick,12.0,12.0,6.0,4.0,11.0,13.0,5.0,2.0,2.0,2.0,0.0,0.0,20170430,Premier League
30/04/2017,2016/17,Everton,Chelsea,0,3,A,0.0,0.0,D,J Moss,12.0,11.0,4.0,5.0,13.0,11.0,2.0,4.0,3.0,4.0,0.0,0.0,20170430,Premier League
30/04/2017,2016/17,Tottenham,Arsenal,2,0,H,0.0,0.0,D,M Oliver,20.0,12.0,11.0,4.0,7.0,15.0,14.0,5.0,1.0,3.0,0.0,0.0,20170430,Premier League
