Date,Season,HomeTeam,AwayTeam,FTH Goals,FTA Goals,FT Result,HTH Goals,HTA Goals,HT Result,Referee,H Shots,A Shots,H SOT,A SOT,H Fouls,A Fouls,H Corners,A Corners,H Yellow,A Yellow,H Red,A Red,Display_Order,League
10/05/1998,1997/98,Derby,Liverpool,1,0,H,0.0,0.0,D,,,,,,,,,,,,,,19980510,Premier League
10/05/1998,1997/98,West Ham,Leicester,4,3,H,2.0,0.0,H,,,,,,,,,,,,,,19980510,Premier League
10/05/1998,1997/98,Aston Villa,Arsenal,1,0,H,1.0,0.0,H,,,,,,,,,,,,,,19980510,Premier League
10/05/1998,1997/98,Everton,Coventry,1,1,D,1.0,0.0,H,,,,,,,,,,,,,,19980510,Premier League
10/05/1998,1997/98,Barnsley,Man United,0,2,A,0.0,1.0,A,,,,,,,,,,,,,,19980510,Premier League
10/05/1998,1997/98,Tottenham,Southampton,1,1,D,1.0,1.0,D,,,,,,,,,,,,,,19980510,Premier League
10/05/1998,1997/98,Leeds,Wimbledon,1,1,D,0.0,0.0,D,,,,,,,,,,,,,,19980510,Premier League
10/05/1998,1997/98,Crystal Palace,Sheffield Weds,1,0,H,0.0,0.0,D,,,,,,,,,,,,,,19980510,Premier League
10/05/1998,1997/98,Chelsea,Bolton,2,0,H,0.0,0.0,D,,,,,,,,,,,,,,19980510,Premier League
10/05/1998,1997/98,Blackburn,Newcastle,1,0,H,0.0,0.0,D,,,,,,,,,,,,,,19980510,Premier League
6/05/1998,1997/98,Liverpool,Arsenal,4,0,H,3.0,0.0,H,,,,,,,,,,,,,,19980506,Premier League
5/05/1998,1997/98,Crystal Palace,West Ham,3,3,D,1.0,1.0,D,,,,,,,,,,,,,,19980505,Premier League
4/05/1998,1997/98,Man United,Leeds,3,0,H,2.0,0.0,H,,,,,,,,,,,,,,19980504,Premier League
3/05/1998,1997/98,Arsenal,Everton,4,0,H,2.0,0.0,H,,,,,,,,,,,,,,19980503,Premier League
2/05/1998,1997/98,Liverpool,West Ham,5,0,H,4.0,0.0,H,,,,,,,,,,,,,,19980502,Premier League
2/05/1998,1997/98,Bolton,Crystal Palace,5,2,H,3.0,2.0,H,,,,,,,,,,,,,,19980502,Premier League
2/05/1998,1997/98,Newcastle,Chelsea,3,1,H,2.0,0.0,H,,,,,,,,,,,,,,19980502,Premier League
2/05/1998,1997/98,Coventry,Blackburn,2,0,H,2.0,0.0,H,,,,,,,,,,,,,,19980502,Premier League
2/05/1998,1997/98,Sheffield Weds,Aston Villa,1,3,A,0.0,2.0,A,,,,,,,,,,,,,,19980502,Premier League
2/05/1998,1997/98,Leicester,Barnsley,1,0,H,0.0,0.0,D,,,,,,,,,,,,,,19980502,Premier League
2/05/1998,1997/98,Southampton,Derby,0,2,A,0.0,0.0,D,,,,,,,,,,,,,,19980502,Premier League
2/05/1998,1997/98,Wimbledon,Tottenham,2,6,A,2.0,2.0,D,,,,,,,,,,,,,,19980502,Premier League
29/04/1998,1997/98,Coventry,Wimbledon,0,0,D,0.0,0.0,D,,,,,,,,,,,,,,19980429,Premier League
29/04/1998,1997/98,Leicester,Newcastle,0,0,D,0.0,0.0,D,,,,,,,,,,,,,,19980429,Premier League
29/04/1998,1997/98,Arsenal,Derby,1,0,H,1.0,0.0,H,,,,,,,,,,,,,,19980429,Premier League
29/04/1998,1997/98,Chelsea,Blackburn,0,1,A,0.0,0.0,D,,,,,,,,,,,,,,19980429,Premier League
27/04/1998,1997/98,Crystal Palace,Man United,0,3,A,0.0,2.0,A,,,,,,,,,,,,,,19980427,Premier League
26/04/1998,1997/98,Derby,Leicester,0,4,A,0.0,4.0,A,,,,,,,,,,,,,,19980426,Premier League
25/04/1998,1997/98,Barnsley,Arsenal,0,2,A,0.0,1.0,A,,,,,,,,,,,,,,19980425,Premier League
25/04/1998,1997/98,Everton,Sheffield Weds,1,3,A,0.0,2.0,A,,,,,,,,,,,,,,19980425,Premier League
25/04/1998,1997/98,Leeds,Coventry,3,3,D,2.0,2.0,D,,,,,,,,,,,,,,19980425,Premier League
25/04/1998,1997/98,West Ham,Southampton,2,4,A,1.0,1.0,D,,,,,,,,,,,,,,19980425,Premier League
25/04/1998,1997/98,Chelsea,Liverpool,4,1,H,1.0,1.0,D,,,,,,,,,,,,,,19980425,Premier League
25/04/1998,1997/98,Aston Villa,Bolton,1,3,A,0.0,2.0,A,,,,,,,,,,,,,,19980425,Premier League
25/04/1998,1997/98,Tottenham,Newcastle,2,0,H,1.0,0.0,H,,,,,,,,,,,,,,19980425,Premier League
25/04/1998,1997/98,Blackburn,Wimbledon,0,0,D,0.0,0.0,D,,,,,,,,,,,,,,19980425,Premier League
19/04/1998,1997/98,Coventry,Liverpool,1,1,D,0.0,1.0,A,,,,,,,,,,,,,,19980419,Premier League
19/04/1998,1997/98,Chelsea,Sheffield Weds,1,0,H,1.0,0.0,H,,,,,,,,,,,,,,19980419,Premier League
18/04/1998,1997/98,Crystal Palace,Derby,3,1,H,0.0,0.0,D,,,,,,,,,,,,,,19980418,Premier League
18/04/1998,1997/98,Bolton,Leeds,2,3,A,0.0,2.0,A,,,,,,,,,,,,,,19980418,Premier League
18/04/1998,1997/98,Man United,Newcastle,1,1,D,1.0,1.0,D,,,,,,,,,,,,,,19980418,Premier League
18/04/1998,1997/98,Arsenal,Wimbledon,5,0,H,3.0,0.0,H,,,,,,,,,,,,,,19980418,Premier League
18/04/1998,1997/98,Southampton,Aston Villa,1,2,A,1.0,1.0,D,,,,,,,,,,,,,,19980418,Premier League
18/04/1998,1997/98,Everton,Leicester,1,1,D,1.0,1.0,D,,,,,,,,,,,,,,19980418,Premier League
18/04/1998,1997/98,West Ham,Blackburn,2,1,H,2.0,1.0,H,,,,,,,,,,,,,,19980418,Premier League
18/04/1998,1997/98,Barnsley,Tottenham,1,1,D,1.0,0.0,H,,,,,,,,,,,,,,19980418,Premier League
14/04/1998,1997/98,Leicester,Southampton,3,3,D,1.0,2.0,A,,,,,,,,,,,,,,19980414,Premier League
13/04/1998,1997/98,Blackburn,Arsenal,1,4,A,0.0,4.0,A,,,,,,,,,,,,,,19980413,Premier League
13/04/1998,1997/98,Tottenham,Coventry,1,1,D,0.0,0.0,D,,,,,,,,,,,,,,19980413,Premier League
13/04/1998,1997/98,Newcastle,Barnsley,2,1,H,1.0,0.0,H,,,,,,,,,,,,,,19980413,Premier League
13/04/1998,1997/98,Liverpool,Crystal Palace,2,1,H,1.0,0.0,H,,,,,,,,,,,,,,19980413,Premier League
