home_team,away_team,P_home_win,P_draw,P_away_win
Arsenal,Aston Villa,0.7798,0.163,0.0572
Arsenal,Burnley,0.7949,0.1589,0.0462
Arsenal,Chelsea,0.4257,0.2376,0.3367
Arsenal,Crystal Palace,0.6869,0.1881,0.125
Arsenal,Everton,0.6712,0.2,0.1287
Arsenal,Hull,0.7617,0.1759,0.0624
Arsenal,Leicester,0.6944,0.1905,0.1151
Arsenal,Liverpool,0.605,0.2194,0.1755
Arsenal,Man City,0.4232,0.221,0.3558
Arsenal,Man United,0.5304,0.2349,0.2347
Arsenal,Newcastle,0.7712,0.1561,0.0727
Arsenal,QPR,0.782,0.1439,0.074
Arsenal,Southampton,0.5429,0.2548,0.2023
Arsenal,Stoke,0.6539,0.2095,0.1365
Arsenal,Sunderland,0.7772,0.1646,0.0581
Arsenal,Swansea,0.6417,0.2147,0.1436
Arsenal,Tottenham,0.6145,0.2034,0.1821
Arsenal,West Brom,0.7429,0.1787,0.0784
Arsenal,West Ham,0.6659,0.2111,0.123
Aston Villa,Arsenal,0.1611,0.2301,0.6089
Aston Villa,Burnley,0.4597,0.3027,0.2376
Aston Villa,Chelsea,0.1375,0.2145,0.648
Aston Villa,Crystal Palace,0.3652,0.2717,0.3631
Aston Villa,Everton,0.3362,0.284,0.3798
Aston Villa,Hull,0.4154,0.3095,0.2751
Aston Villa,Leicester,0.3639,0.282,0.3541
Aston Villa,Liverpool,0.2707,0.2757,0.4536
Aston Villa,Man City,0.1542,0.1978,0.6479
Aston Villa,Man United,0.206,0.2583,0.5358
Aston Villa,Newcastle,0.4625,0.2692,0.2684
Aston Villa,QPR,0.4942,0.2486,0.2572
Aston Villa,Southampton,0.1859,0.2937,0.5205
Aston Villa,Stoke,0.3115,0.2899,0.3986
Aston Villa,Sunderland,0.4437,0.2975,0.2587
Aston Villa,Swansea,0.297,0.2909,0.4121
Aston Villa,Tottenham,0.3015,0.255,0.4435
Aston Villa,West Brom,0.4048,0.2972,0.2981
Aston Villa,West Ham,0.3141,0.3016,0.3843
Burnley,Arsenal,0.1464,0.2307,0.6229
Burnley,Aston Villa,0.4315,0.3068,0.2618
Burnley,Chelsea,0.1237,0.214,0.6623
Burnley,Crystal Palace,0.3496,0.2783,0.3721
Burnley,Everton,0.3194,0.2911,0.3894
Burnley,Hull,0.3977,0.3209,0.2814
Burnley,Leicester,0.3476,0.2895,0.3629
Burnley,Liverpool,0.254,0.281,0.465
Burnley,Man City,0.1418,0.197,0.6611
Burnley,Man United,0.1898,0.2612,0.549
Burnley,Newcastle,0.4478,0.2776,0.2746
Burnley,QPR,0.4811,0.2558,0.2631
Burnley,Southampton,0.1668,0.2989,0.5342
Burnley,Stoke,0.2942,0.297,0.4088
Burnley,Sunderland,0.427,0.3084,0.2645
Burnley,Swansea,0.2794,0.2979,0.4227
Burnley,Tottenham,0.2864,0.2593,0.4543
Burnley,West Brom,0.3878,0.307,0.3052
Burnley,West Ham,0.296,0.3099,0.3941
Chelsea,Arsenal,0.5013,0.2298,0.2689
Chelsea,Aston Villa,0.8102,0.1451,0.0446
Chelsea,Burnley,0.825,0.1403,0.0347
Chelsea,Crystal Palace,0.7201,0.1736,0.1063
Chelsea,Everton,0.7062,0.1847,0.109
Chelsea,Hull,0.7941,0.1571,0.0488
Chelsea,Leicester,0.7281,0.175,0.0968
Chelsea,Liverpool,0.6424,0.2057,0.1518
Chelsea,Man City,0.459,0.2164,0.3246
Chelsea,Man United,0.5694,0.2238,0.2068
Chelsea,Newcastle,0.8001,0.1406,0.0593
Chelsea,QPR,0.8088,0.13,0.0612
Chelsea,Southampton,0.5851,0.2403,0.1746
Chelsea,Stoke,0.6903,0.1939,0.1157
Chelsea,Sunderland,0.8079,0.1467,0.0453
Chelsea,Swansea,0.6788,0.1991,0.122
Chelsea,Tottenham,0.6493,0.1914,0.1593
Chelsea,West Brom,0.7754,0.1612,0.0634
Chelsea,West Ham,0.7027,0.1942,0.103
Crystal Palace,Arsenal,0.2491,0.2326,0.5183
Crystal Palace,Aston Villa,0.5489,0.2493,0.2018
Crystal Palace,Burnley,0.5621,0.2516,0.1862
Crystal Palace,Chelsea,0.2208,0.2224,0.5568
Crystal Palace,Everton,0.437,0.2549,0.3081
Crystal Palace,Hull,0.5215,0.2616,0.2169
Crystal Palace,Leicester,0.4633,0.2505,0.2862
