home_team,away_team,P_home_win,P_draw,P_away_win
Arsenal,Aston Villa,0.3712,0.2738,0.355
Arsenal,Brighton,0.4633,0.2874,0.2492
Arsenal,Burnley,0.5402,0.2867,0.173
Arsenal,Chelsea,0.3344,0.2795,0.3861
Arsenal,Crystal Palace,0.5819,0.243,0.1751
Arsenal,Everton,0.449,0.2742,0.2768
Arsenal,Fulham,0.6147,0.2733,0.112
Arsenal,Leeds,0.3995,0.2517,0.3489
Arsenal,Leicester,0.3292,0.2464,0.4244
Arsenal,Liverpool,0.2844,0.2516,0.464
Arsenal,Man City,0.1559,0.2166,0.6275
Arsenal,Man United,0.3156,0.241,0.4434
Arsenal,Newcastle,0.509,0.2507,0.2403
Arsenal,Sheffield United,0.6932,0.2318,0.075
Arsenal,Southampton,0.5245,0.2423,0.2332
Arsenal,Tottenham,0.296,0.2556,0.4484
Arsenal,West Brom,0.6599,0.2042,0.1359
Arsenal,West Ham,0.3289,0.2633,0.4078
Arsenal,Wolves,0.5149,0.2795,0.2056
Aston Villa,Arsenal,0.355,0.2738,0.3712
Aston Villa,Brighton,0.458,0.2741,0.2679
Aston Villa,Burnley,0.5316,0.2737,0.1946
Aston Villa,Chelsea,0.3341,0.2661,0.3998
Aston Villa,Crystal Palace,0.5719,0.2355,0.1926
Aston Villa,Everton,0.444,0.2625,0.2935
Aston Villa,Fulham,0.6027,0.2621,0.1351
Aston Villa,Leeds,0.3961,0.2422,0.3618
Aston Villa,Leicester,0.3282,0.2367,0.4351
Aston Villa,Liverpool,0.2853,0.2408,0.4739
Aston Villa,Man City,0.1608,0.2075,0.6317
Aston Villa,Man United,0.3149,0.2318,0.4533
Aston Villa,Newcastle,0.5018,0.242,0.2562
Aston Villa,Sheffield United,0.6783,0.2258,0.0959
Aston Villa,Southampton,0.5168,0.2346,0.2486
Aston Villa,Tottenham,0.2965,0.2445,0.459
Aston Villa,West Brom,0.6481,0.2007,0.1512
Aston Villa,West Ham,0.3283,0.2518,0.4199
Aston Villa,Wolves,0.5074,0.2674,0.2252
Brighton,Arsenal,0.2492,0.2874,0.4633
Brighton,Aston Villa,0.2679,0.2741,0.458
Brighton,Burnley,0.4174,0.3197,0.2629
Brighton,Chelsea,0.2324,0.2746,0.4931
Brighton,Crystal Palace,0.473,0.2723,0.2547
Brighton,Everton,0.3391,0.287,0.3739
Brighton,Fulham,0.4896,0.3197,0.1907
Brighton,Leeds,0.3015,0.2539,0.4445
Brighton,Leicester,0.2383,0.2388,0.5229
Brighton,Liverpool,0.1954,0.2378,0.5667
Brighton,Man City,0.0886,0.1845,0.7269
Brighton,Man United,0.2274,0.2315,0.5411
Brighton,Newcastle,0.4032,0.269,0.3278
Brighton,Sheffield United,0.5777,0.2832,0.1391
Brighton,Southampton,0.4208,0.2614,0.3179
Brighton,Tottenham,0.2048,0.2436,0.5516
Brighton,West Brom,0.5616,0.2367,0.2017
Brighton,West Ham,0.2325,0.2564,0.511
Brighton,Wolves,0.3974,0.3052,0.2974
Burnley,Arsenal,0.173,0.2867,0.5402
Burnley,Aston Villa,0.1946,0.2737,0.5316
Burnley,Brighton,0.2629,0.3197,0.4174
Burnley,Chelsea,0.1602,0.2702,0.5696
Burnley,Crystal Palace,0.3938,0.2951,0.3111
Burnley,Everton,0.2599,0.2968,0.4433
Burnley,Fulham,0.3956,0.3594,0.245
Burnley,Leeds,0.2326,0.2547,0.5127
Burnley,Leicester,0.1752,0.2319,0.5929
Burnley,Liverpool,0.1341,0.2262,0.6397
Burnley,Man City,0.0446,0.1588,0.7965
Burnley,Man United,0.1666,0.223,0.6104
Burnley,Newcastle,0.3271,0.2827,0.3903
Burnley,Sheffield United,0.4912,0.3259,0.1829
Burnley,Southampton,0.3463,0.2754,0.3782
Burnley,Tottenham,0.1416,0.2333,0.6251
Burnley,West Brom,0.4903,0.2614,0.2483
Burnley,West Ham,0.1651,0.2502,0.5847
Burnley,Wolves,0.311,0.3264,0.3626
Chelsea,Arsenal,0.3861,0.2795,0.3344
Chelsea,Aston Villa,0.3998,0.2661,0.3341
Chelsea,Brighton,0.4931,0.2746,0.2324
Chelsea,Burnley,0.5696,0.2702,0.1602
Chelsea,Crystal Palace,0.6068,0.2303,0.1628
Chelsea,Everton,0.4774,0.2635,0.2591
Chelsea,Fulham,0.6424,0.2544,0.1031
Chelsea,Leeds,0.4258,0.245,0.3292
Chelsea,Leicester,0.3551,0.2423,0.4025
Chelsea,Liverpool,0.311,0.2485,0.4404
Chelsea,Man City,0.1792,0.2196,0.6012
Chelsea,Man United,0.341,0.2377,0.4213
Chelsea,Newcastle,0.535,0.2403,0.2248
