home_team,away_team,P_home_win,P_draw,P_away_win
Crystal Palace,Leicester,0.4146,0.2462,0.3392
Crystal Palace,Liverpool,0.1312,0.1872,0.6816
Crystal Palace,Man City,0.0979,0.1693,0.7327
Crystal Palace,Man United,0.4271,0.253,0.3199
Crystal Palace,Newcastle,0.5152,0.2592,0.2256
Crystal Palace,Norwich,0.7588,0.1745,0.0667
Crystal Palace,Southampton,0.5664,0.2316,0.202
Crystal Palace,Tottenham,0.2559,0.2526,0.4915
Crystal Palace,Watford,0.6719,0.1991,0.129
Crystal Palace,West Ham,0.3718,0.2564,0.3717
Crystal Palace,Wolves,0.4472,0.3036,0.2491
Everton,Arsenal,0.1882,0.2265,0.5853
Everton,Aston Villa,0.2629,0.2395,0.4976
Everton,Brentford,0.3243,0.2453,0.4305
Everton,Brighton,0.2388,0.2613,0.4999
Everton,Burnley,0.3631,0.2774,0.3596
Everton,Chelsea,0.1213,0.1816,0.697
Everton,Crystal Palace,0.2311,0.2435,0.5254
Everton,Leeds,0.4433,0.2356,0.3212
Everton,Leicester,0.2615,0.223,0.5155
Everton,Liverpool,0.0585,0.1238,0.8175
Everton,Man City,0.0387,0.1046,0.8566
Everton,Man United,0.2684,0.2313,0.5003
Everton,Newcastle,0.3347,0.2558,0.4095
Everton,Norwich,0.5741,0.2276,0.1983
Everton,Southampton,0.3897,0.2407,0.3696
Everton,Tottenham,0.1348,0.195,0.6702
Everton,Watford,0.4927,0.2311,0.2763
Everton,West Ham,0.2233,0.2228,0.5539
Everton,Wolves,0.2632,0.2789,0.4579
Leeds,Arsenal,0.1679,0.2118,0.6203
Leeds,Aston Villa,0.2378,0.2278,0.5345
Leeds,Brentford,0.2957,0.2362,0.4682
Leeds,Brighton,0.2137,0.2464,0.5399
Leeds,Burnley,0.3302,0.268,0.4018
Leeds,Chelsea,0.1071,0.1674,0.7254
Leeds,Crystal Palace,0.2074,0.2298,0.5629
Leeds,Everton,0.3738,0.238,0.3882
Leeds,Leicester,0.2374,0.2126,0.55
Leeds,Liverpool,0.0507,0.1118,0.8372
Leeds,Man City,0.033,0.0933,0.8734
Leeds,Man United,0.2435,0.2205,0.536
