home_team,away_team,P_home_win,P_draw,P_away_win
Arsenal,Aston Villa,0.8857,0.1006,0.0136
Arsenal,Bournemouth,0.7622,0.162,0.0758
Arsenal,Chelsea,0.6329,0.2096,0.1575
Arsenal,Crystal Palace,0.7365,0.1949,0.0686
Arsenal,Everton,0.6566,0.202,0.1414
Arsenal,Leicester,0.4807,0.2456,0.2736
Arsenal,Liverpool,0.6009,0.2137,0.1854
Arsenal,Man City,0.4668,0.2519,0.2813
Arsenal,Man United,0.5641,0.2688,0.1671
Arsenal,Newcastle,0.7626,0.1629,0.0745
Arsenal,Norwich,0.8135,0.1405,0.046
Arsenal,Southampton,0.5534,0.2414,0.2052
Arsenal,Stoke,0.7441,0.1832,0.0726
Arsenal,Sunderland,0.723,0.1806,0.0964
Arsenal,Swansea,0.6895,0.2081,0.1024
Arsenal,Tottenham,0.4667,0.2501,0.2832
Arsenal,Watford,0.7554,0.1894,0.0552
Arsenal,West Brom,0.7311,0.2058,0.0631
Arsenal,West Ham,0.5715,0.2165,0.212
Aston Villa,Arsenal,0.0554,0.1549,0.7897
Aston Villa,Bournemouth,0.2978,0.2423,0.4599
Aston Villa,Chelsea,0.1864,0.2159,0.5977
Aston Villa,Crystal Palace,0.2266,0.2644,0.509
Aston Villa,Everton,0.2048,0.2217,0.5736
Aston Villa,Leicester,0.0899,0.1694,0.7407
Aston Villa,Liverpool,0.1709,0.2037,0.6254
Aston Villa,Man City,0.0789,0.1659,0.7551
Aston Villa,Man United,0.0918,0.2199,0.6883
Aston Villa,Newcastle,0.2957,0.2438,0.4606
Aston Villa,Norwich,0.3451,0.252,0.4029
Aston Villa,Southampton,0.1194,0.1991,0.6815
Aston Villa,Stoke,0.2501,0.2564,0.4935
Aston Villa,Sunderland,0.2556,0.2386,0.5058
Aston Villa,Swansea,0.1998,0.2462,0.554
Aston Villa,Tottenham,0.0804,0.1653,0.7543
Aston Villa,Watford,0.2366,0.2725,0.4909
Aston Villa,West Brom,0.2062,0.2726,0.5212
Aston Villa,West Ham,0.157,0.1926,0.6503
Bournemouth,Arsenal,0.1469,0.2062,0.6469
Bournemouth,Aston Villa,0.5844,0.2202,0.1954
Bournemouth,Chelsea,0.3128,0.2338,0.4534
Bournemouth,Crystal Palace,0.3777,0.2669,0.3554
Bournemouth,Everton,0.3345,0.2354,0.4301
Bournemouth,Leicester,0.1899,0.2105,0.5995
Bournemouth,Liverpool,0.2907,0.2255,0.4837
Bournemouth,Man City,0.1768,0.2102,0.6129
Bournemouth,Man United,0.2165,0.2605,0.523
Bournemouth,Newcastle,0.4385,0.2374,0.3241
Bournemouth,Norwich,0.4929,0.235,0.2721
Bournemouth,Southampton,0.2354,0.2329,0.5317
Bournemouth,Stoke,0.398,0.2558,0.3462
Bournemouth,Sunderland,0.395,0.2404,0.3646
Bournemouth,Swansea,0.3414,0.2577,0.4009
Bournemouth,Tottenham,0.1781,0.209,0.613
Bournemouth,Watford,0.3918,0.2711,0.3371
Bournemouth,West Brom,0.3604,0.2778,0.3618
Bournemouth,West Ham,0.2708,0.2177,0.5115
Chelsea,Arsenal,0.2532,0.2389,0.5078
Chelsea,Aston Villa,0.7155,0.1779,0.1066
Chelsea,Bournemouth,0.5737,0.2147,0.2115
Chelsea,Crystal Palace,0.524,0.2493,0.2267
Chelsea,Everton,0.464,0.2316,0.3044
Chelsea,Leicester,0.3009,0.2339,0.4652
Chelsea,Liverpool,0.4137,0.2301,0.3562
Chelsea,Man City,0.2869,0.2363,0.4768
Chelsea,Man United,0.3508,0.2763,0.3728
Chelsea,Newcastle,0.573,0.2161,0.2109
Chelsea,Norwich,0.6282,0.2048,0.1669
Chelsea,Southampton,0.359,0.2468,0.3942
Chelsea,Stoke,0.54,0.237,0.223
Chelsea,Sunderland,0.5293,0.2257,0.245
Chelsea,Swansea,0.4817,0.2489,0.2694
Chelsea,Tottenham,0.2877,0.2347,0.4776
Chelsea,Watford,0.5407,0.2498,0.2096
Chelsea,West Brom,0.5108,0.2612,0.2281
Chelsea,West Ham,0.3892,0.2262,0.3846
Crystal Palace,Arsenal,0.1506,0.2464,0.603
Crystal Palace,Aston Villa,0.6459,0.227,0.1271
Crystal Palace,Bournemouth,0.4856,0.2575,0.2569
Crystal Palace,Chelsea,0.3424,0.265,0.3926
Crystal Palace,Everton,0.3671,0.2653,0.3677
Crystal Palace,Leicester,0.2017,0.2462,0.5522
Crystal Palace,Liverpool,0.3173,0.2558,0.4269
Crystal Palace,Man City,0.1862,0.2475,0.5663
Crystal Palace,Man United,0.2285,0.3164,0.4551
Crystal Palace,Newcastle,0.4842,0.2596,0.2562
Crystal Palace,Norwich,0.5451,0.2524,0.2025
Crystal Palace,Southampton,0.2534,0.2723,0.4743
Crystal Palace,Stoke,0.4401,0.2879,0.272
Crystal Palace,Sunderland,0.4355,0.267,0.2975
Crystal Palace,Swansea,0.3754,0.2959,0.3287
Crystal Palace,Tottenham,0.1878,0.2456,0.5667
Crystal Palace,Watford,0.4337,0.3104,0.2559
Crystal Palace,West Brom,0.3974,0.3235,0.2791
Crystal Palace,West Ham,0.2947,0.247,0.4583
Everton,Arsenal,0.233,0.2343,0.5327
Everton,Aston Villa,0.6931,0.1861,0.1207
Everton,Bournemouth,0.5502,0.2196,0.2302
Everton,Chelsea,0.4174,0.235,0.3475
Everton,Crystal Palace,0.4979,0.2539,0.2481
Everton,Leicester,0.2801,0.2309,0.489
Everton,Liverpool,0.3913,0.2305,0.3782
Everton,Man City,0.2662,0.2328,0.501
Everton,Man United,0.3259,0.2752,0.3989
Everton,Newcastle,0.5493,0.221,0.2297
