rank,Team,Pts,GF,GA,GD
1,Chelsea,87,73,32,41
2,Man City,79,83,38,45
3,Arsenal,75,71,36,35
4,Man United,70,62,37,25
5,Tottenham,64,58,53,5
6,Liverpool,62,52,48,4
7,Southampton,60,54,33,21
8,Swansea,56,46,49,-3
9,Stoke,54,48,45,3
10,Crystal Palace,48,47,51,-4
11,Everton,47,48,50,-2
12,West Ham,47,44,47,-3
13,West Brom,44,38,51,-13
14,Leicester,41,46,55,-9
15,Newcastle,39,40,63,-23
16,Sunderland,38,31,53,-22
17,Aston Villa,38,31,57,-26
18,Hull,35,33,51,-18
19,Burnley,33,28,53,-25
20,QPR,30,42,73,-31
