rank,Team,Pts,GF,GA,GD
1,Man United,75,76,44,32
2,Newcastle,68,73,40,33
3,Arsenal,68,62,32,30
4,Liverpool,68,62,37,25
5,Aston Villa,61,47,34,13
6,Chelsea,59,58,55,3
7,Sheffield Weds,57,50,51,-1
8,Wimbledon,56,49,46,3
9,Leicester,47,46,54,-8
10,Tottenham,46,44,51,-7
11,Leeds,46,28,38,-10
12,Derby,46,45,58,-13
13,Blackburn,42,42,43,-1
14,Middlesbrough,42,51,60,-9
15,West Ham,42,39,48,-9
16,Everton,42,44,57,-13
17,Southampton,41,50,56,-6
18,Coventry,41,38,54,-16
19,Sunderland,40,35,53,-18
20,Nott'm Forest,34,31,59,-28
