rank,Team,Pts,GF,GA,GD
1,Man United,80,79,31,48
2,Arsenal,70,63,38,25
3,Liverpool,69,71,39,32
4,Leeds,68,64,43,21
5,Ipswich,66,57,42,15
6,Chelsea,61,68,45,23
7,Sunderland,57,46,41,5
8,Aston Villa,54,46,43,3
9,Charlton,52,50,57,-7
10,Southampton,52,40,48,-8
11,Newcastle,51,44,50,-6
12,Tottenham,49,47,54,-7
13,Leicester,48,39,51,-12
14,Middlesbrough,42,44,44,0
15,West Ham,42,45,50,-5
16,Everton,42,45,59,-14
17,Derby,42,37,59,-22
18,Man City,34,41,65,-24
19,Coventry,34,36,63,-27
20,Bradford,26,30,70,-40
