rank,Team,Pts,GF,GA,GD
1,Man City,86,102,37,65
2,Liverpool,84,101,50,51
3,Chelsea,82,71,27,44
4,Arsenal,79,68,41,27
5,Everton,72,61,39,22
6,Tottenham,69,55,51,4
7,Man United,64,64,43,21
8,Southampton,56,54,46,8
9,Stoke,50,45,52,-7
10,Newcastle,49,43,59,-16
11,Crystal Palace,45,33,48,-15
12,Swansea,42,54,54,0
13,West Ham,40,40,51,-11
14,Sunderland,38,41,60,-19
15,Aston Villa,38,39,61,-22
16,Hull,37,38,53,-15
17,West Brom,36,43,59,-16
18,Norwich,33,28,62,-34
19,Fulham,32,40,85,-45
20,Cardiff,30,32,74,-42
