rank,Team,Pts,GF,GA,GD
1,Man City,86,83,32,51
2,Man United,74,73,44,29
3,Liverpool,69,68,42,26
4,Chelsea,67,58,36,22
5,Leicester,66,68,50,18
6,West Ham,65,62,47,15
7,Tottenham,62,68,45,23
8,Arsenal,61,55,39,16
9,Leeds,59,62,54,8
10,Everton,59,47,48,-1
11,Aston Villa,55,55,46,9
12,Newcastle,45,46,62,-16
13,Wolves,45,36,52,-16
14,Crystal Palace,44,41,66,-25
15,Southampton,43,47,68,-21
16,Brighton,41,40,46,-6
17,Burnley,39,33,55,-22
18,Fulham,28,27,53,-26
19,West Brom,26,35,76,-41
20,Sheffield United,23,20,63,-43
