rank,Team,Pts,GF,GA,GD
1,Man United,89,83,27,56
2,Chelsea,83,64,24,40
3,Liverpool,68,57,27,30
4,Arsenal,68,63,35,28
5,Tottenham,60,57,54,3
6,Everton,58,52,36,16
7,Bolton,56,47,52,-5
8,Reading,55,52,47,5
9,Portsmouth,54,45,42,3
10,Blackburn,52,52,54,-2
11,Aston Villa,50,43,41,2
12,Middlesbrough,46,44,49,-5
13,Newcastle,43,38,47,-9
14,Man City,42,29,44,-15
15,West Ham,41,35,59,-24
16,Fulham,39,38,60,-22
17,Wigan,38,37,59,-22
18,Sheffield United,38,32,55,-23
19,Charlton,34,34,60,-26
20,Watford,28,29,59,-30
