rank,Team,Pts,GF,GA,GD
1,Man City,91,96,34,62
2,Arsenal,89,91,29,62
3,Liverpool,82,86,41,45
4,Aston Villa,68,76,61,15
5,Tottenham,66,74,61,13
6,Chelsea,63,77,63,14
7,Newcastle,60,85,62,23
8,Man United,60,57,58,-1
9,West Ham,52,60,74,-14
10,Crystal Palace,49,57,58,-1
11,Brighton,48,55,62,-7
12,Everton,48,40,51,-11
13,Bournemouth,48,54,67,-13
14,Fulham,47,55,61,-6
15,Wolves,46,50,65,-15
16,Brentford,39,56,65,-9
17,Nott'm Forest,36,49,67,-18
18,Luton,26,52,85,-33
19,Burnley,24,41,78,-37
20,Sheffield United,16,35,104,-69
