rank,Team,Pts,GF,GA,GD
1,Arsenal,90,73,26,47
2,Chelsea,79,67,30,37
3,Man United,75,64,35,29
4,Liverpool,60,55,37,18
5,Newcastle,56,52,40,12
6,Aston Villa,56,48,44,4
7,Charlton,53,51,51,0
8,Bolton,53,48,56,-8
9,Fulham,52,52,46,6
10,Birmingham,50,43,48,-5
11,Middlesbrough,48,44,52,-8
12,Southampton,47,44,45,-1
13,Portsmouth,45,47,54,-7
14,Tottenham,45,47,57,-10
15,Blackburn,44,51,59,-8
16,Man City,41,55,54,1
17,Everton,39,45,57,-12
18,Leicester,33,48,65,-17
19,Leeds,33,40,79,-39
20,Wolves,33,38,77,-39
