rank,Team,Pts,GF,GA,GD
1,Chelsea,91,72,22,50
2,Man United,83,72,34,38
3,Liverpool,82,57,25,32
4,Arsenal,67,68,31,37
5,Tottenham,65,53,38,15
6,Blackburn,63,51,42,9
7,Newcastle,58,47,42,5
8,Bolton,56,49,41,8
9,West Ham,55,52,55,-3
10,Wigan,51,45,52,-7
11,Everton,50,34,49,-15
12,Fulham,48,48,58,-10
13,Charlton,47,41,55,-14
14,Middlesbrough,45,48,58,-10
15,Man City,43,43,48,-5
16,Aston Villa,42,42,55,-13
17,Portsmouth,38,37,62,-25
18,Birmingham,34,28,50,-22
19,West Brom,30,31,58,-27
20,Sunderland,15,26,69,-43
