rank,Team,Pts,GF,GA,GD
1,Blackburn,89,80,39,41
2,Man United,88,77,28,49
3,Nott'm Forest,77,72,43,29
4,Liverpool,74,65,37,28
5,Leeds,73,59,38,21
6,Newcastle,72,67,47,20
7,Tottenham,62,66,58,8
8,QPR,60,61,59,2
9,Wimbledon,56,48,65,-17
10,Southampton,54,61,63,-2
11,Chelsea,54,50,55,-5
12,Arsenal,51,52,49,3
13,Sheffield Weds,51,49,57,-8
14,West Ham,50,44,48,-4
15,Everton,50,44,51,-7
16,Coventry,50,44,62,-18
17,Man City,49,53,64,-11
18,Aston Villa,48,51,56,-5
19,Crystal Palace,45,34,49,-15
20,Norwich,43,37,54,-17
21,Leicester,29,45,80,-35
22,Ipswich,27,36,93,-57
