rank,Team,Pts,GF,GA,GD
1,Leicester,81,68,36,32
2,Arsenal,71,65,36,29
3,Tottenham,70,69,35,34
4,Man City,66,71,41,30
5,Man United,66,49,35,14
6,Southampton,63,59,41,18
7,West Ham,62,65,51,14
8,Liverpool,60,63,50,13
9,Stoke,51,41,55,-14
10,Chelsea,50,59,53,6
11,Everton,47,59,55,4
12,Swansea,47,42,52,-10
13,Watford,45,40,50,-10
14,West Brom,43,34,48,-14
15,Crystal Palace,42,39,51,-12
16,Bournemouth,42,45,67,-22
17,Sunderland,39,48,62,-14
18,Newcastle,37,44,65,-21
19,Norwich,34,39,67,-28
20,Aston Villa,17,27,76,-49
