rank,Team,Pts,GF,GA,GD
1,Man United,91,97,45,52
2,Arsenal,73,73,43,30
3,Leeds,69,58,43,15
4,Liverpool,67,51,30,21
5,Chelsea,65,53,34,19
6,Aston Villa,58,46,35,11
7,Sunderland,58,57,56,1
8,Leicester,55,55,55,0
9,West Ham,55,52,53,-1
10,Tottenham,53,57,49,8
11,Newcastle,52,63,54,9
12,Middlesbrough,52,46,52,-6
13,Everton,50,59,49,10
14,Coventry,44,47,54,-7
15,Southampton,44,45,62,-17
16,Derby,38,44,57,-13
17,Bradford,36,38,68,-30
18,Wimbledon,33,46,74,-28
19,Sheffield Weds,31,38,70,-32
20,Watford,24,35,77,-42
