rank,Team,Pts,GF,GA,GD
1,Man United,82,73,35,38
2,Newcastle,78,66,37,29
3,Liverpool,71,70,34,36
4,Aston Villa,63,52,35,17
5,Arsenal,63,49,32,17
6,Everton,61,64,44,20
7,Blackburn,61,61,47,14
8,Tottenham,61,50,38,12
9,Nott'm Forest,58,50,54,-4
10,West Ham,51,43,52,-9
11,Chelsea,50,46,44,2
12,Middlesbrough,43,35,50,-15
13,Leeds,43,40,57,-17
14,Wimbledon,41,55,70,-15
15,Sheffield Weds,40,48,61,-13
16,Coventry,38,42,60,-18
17,Southampton,38,34,52,-18
18,Man City,38,33,58,-25
19,QPR,33,38,57,-19
20,Bolton,29,39,71,-32
