rank,Team,Pts,GF,GA,GD
1,Man United,92,80,38,42
2,Blackburn,84,63,36,27
3,Newcastle,77,82,41,41
4,Arsenal,71,53,28,25
5,Leeds,70,65,39,26
6,Wimbledon,65,56,53,3
7,Sheffield Weds,64,76,54,22
8,Liverpool,60,59,55,4
9,QPR,60,62,61,1
10,Aston Villa,57,46,50,-4
11,Coventry,56,43,45,-2
12,Norwich,53,65,61,4
13,West Ham,52,47,58,-11
14,Chelsea,51,49,53,-4
15,Tottenham,45,54,59,-5
16,Man City,45,38,49,-11
17,Everton,44,42,63,-21
18,Southampton,43,49,66,-17
19,Ipswich,43,35,58,-23
20,Sheffield United,42,42,60,-18
21,Oldham,40,42,68,-26
22,Swindon,30,47,100,-53
