rank,Team,Pts,GF,GA,GD
1,Man United,83,74,34,40
2,Arsenal,78,85,42,43
3,Newcastle,69,63,48,15
4,Chelsea,67,68,38,30
5,Liverpool,64,61,41,20
6,Blackburn,60,52,43,9
7,Everton,59,48,49,-1
8,Southampton,52,43,46,-3
9,Man City,51,47,54,-7
10,Tottenham,50,51,62,-11
11,Middlesbrough,49,48,44,4
12,Charlton,49,45,56,-11
13,Birmingham,48,41,49,-8
14,Fulham,48,41,50,-9
15,Leeds,47,58,57,1
16,Aston Villa,45,42,47,-5
17,Bolton,44,41,51,-10
18,West Ham,42,42,59,-17
19,West Brom,26,29,65,-36
20,Sunderland,19,21,65,-44
