rank,Team,Pts,GF,GA,GD
1,Chelsea,93,85,33,52
2,Tottenham,86,86,26,60
3,Man City,78,80,39,41
4,Liverpool,76,78,42,36
5,Arsenal,75,77,44,33
6,Man United,69,54,29,25
7,Everton,61,62,44,18
8,Southampton,46,41,48,-7
9,Bournemouth,46,55,67,-12
10,West Brom,45,43,51,-8
11,West Ham,45,47,64,-17
12,Leicester,44,48,63,-15
13,Stoke,44,41,56,-15
14,Crystal Palace,41,50,63,-13
15,Swansea,41,45,70,-25
16,Burnley,40,39,55,-16
17,Watford,40,40,68,-28
18,Hull,34,37,80,-43
19,Middlesbrough,28,27,53,-26
20,Sunderland,24,29,69,-40
