rank,Team,Pts,GF,GA,GD
1,Liverpool,99,85,33,52
2,Man City,81,102,35,67
3,Man United,66,66,36,30
4,Chelsea,66,69,54,15
5,Leicester,62,67,41,26
6,Tottenham,59,61,47,14
7,Wolves,59,51,40,11
8,Arsenal,56,56,48,8
9,Sheffield United,54,39,39,0
10,Burnley,54,43,50,-7
11,Southampton,52,51,60,-9
12,Everton,49,44,56,-12
13,Newcastle,44,38,58,-20
14,Crystal Palace,43,31,50,-19
15,Brighton,41,39,54,-15
16,West Ham,39,49,62,-13
17,Aston Villa,35,41,67,-26
18,Bournemouth,34,40,65,-25
19,Watford,34,36,64,-28
20,Norwich,21,26,75,-49
