rank,Team,Pts,GF,GA,GD
1,Man United,89,86,43,43
2,Man City,78,66,34,32
3,Chelsea,75,75,39,36
4,Arsenal,73,72,37,35
5,Tottenham,72,66,46,20
6,Everton,63,55,40,15
7,Liverpool,61,71,43,28
8,West Brom,49,53,57,-4
9,Swansea,46,47,51,-4
10,West Ham,46,45,53,-8
11,Norwich,44,41,58,-17
12,Fulham,43,50,60,-10
13,Stoke,42,34,45,-11
14,Southampton,41,49,60,-11
15,Aston Villa,41,47,69,-22
16,Newcastle,41,45,68,-23
17,Sunderland,39,41,54,-13
18,Wigan,36,47,73,-26
19,Reading,28,43,73,-30
20,QPR,25,30,60,-30
