rank,Team,Pts,GF,GA,GD
1,Chelsea,86,103,32,71
2,Man United,85,86,28,58
3,Arsenal,75,83,41,42
4,Tottenham,70,67,41,26
5,Man City,67,73,45,28
6,Aston Villa,64,52,39,13
7,Liverpool,63,61,35,26
8,Everton,61,60,49,11
9,Birmingham,50,38,47,-9
10,Blackburn,50,41,55,-14
11,Stoke,47,34,48,-14
12,Fulham,46,39,46,-7
13,Sunderland,44,48,56,-8
14,Bolton,39,42,67,-25
15,Wolves,38,32,56,-24
16,Wigan,36,37,79,-42
17,West Ham,35,47,66,-19
18,Burnley,30,42,82,-40
19,Hull,30,34,75,-41
20,Portsmouth,28,34,66,-32
