rank,Team,Pts,GF,GA,GD
1,Arsenal,78,68,33,35
2,Man United,77,73,26,47
3,Liverpool,65,68,42,26
4,Chelsea,63,71,43,28
5,Leeds,59,57,46,11
6,Blackburn,58,57,52,5
7,Aston Villa,57,49,48,1
8,West Ham,56,56,57,-1
9,Derby,55,52,49,3
10,Leicester,53,51,41,10
11,Coventry,52,46,44,2
12,Southampton,48,50,55,-5
13,Newcastle,44,35,44,-9
14,Tottenham,44,44,56,-12
15,Wimbledon,44,34,46,-12
16,Sheffield Weds,44,52,67,-15
17,Everton,40,41,56,-15
18,Bolton,40,41,61,-20
19,Barnsley,35,37,82,-45
20,Crystal Palace,33,37,71,-34
