rank,Team,Pts,GF,GA,GD
1,Man City,89,93,29,64
2,Man United,89,89,33,56
3,Arsenal,70,74,49,25
4,Tottenham,69,66,41,25
5,Newcastle,65,56,51,5
6,Chelsea,64,65,46,19
7,Everton,56,50,40,10
8,Liverpool,52,47,40,7
9,Fulham,52,48,51,-3
10,West Brom,47,45,52,-7
11,Swansea,47,44,51,-7
12,Norwich,47,52,66,-14
13,Sunderland,45,45,46,-1
14,Stoke,45,36,53,-17
15,Wigan,43,42,62,-20
16,Aston Villa,38,37,53,-16
17,QPR,37,43,66,-23
18,Bolton,36,46,77,-31
19,Blackburn,31,48,78,-30
20,Wolves,25,40,82,-42
