rank,Team,Pts,GF,GA,GD
1,Man United,90,68,24,44
2,Liverpool,86,77,27,50
3,Chelsea,83,68,24,44
4,Arsenal,72,68,37,31
5,Everton,63,55,37,18
6,Aston Villa,62,54,48,6
7,Fulham,53,39,34,5
8,Tottenham,51,45,45,0
9,West Ham,51,42,45,-3
10,Man City,50,58,50,8
11,Wigan,45,34,45,-11
12,Stoke,45,38,55,-17
13,Bolton,41,41,53,-12
14,Portsmouth,41,38,57,-19
15,Blackburn,41,40,60,-20
16,Sunderland,36,34,54,-20
17,Hull,35,39,64,-25
18,Newcastle,34,40,59,-19
19,Middlesbrough,32,28,57,-29
20,West Brom,32,36,67,-31
