rank,Team,Pts,GF,GA,GD
1,Man United,87,80,22,58
2,Chelsea,85,65,26,39
3,Arsenal,83,74,31,43
4,Liverpool,76,67,28,39
5,Everton,65,55,33,22
6,Aston Villa,60,71,51,20
7,Blackburn,58,50,48,2
8,Portsmouth,57,48,40,8
9,Man City,55,45,53,-8
10,West Ham,49,42,50,-8
11,Tottenham,46,66,61,5
12,Newcastle,43,45,65,-20
13,Middlesbrough,42,43,53,-10
14,Wigan,40,34,51,-17
15,Sunderland,39,36,59,-23
16,Bolton,37,36,54,-18
17,Fulham,36,38,60,-22
18,Reading,36,41,66,-25
19,Birmingham,35,46,62,-16
20,Derby,11,20,89,-69
