rank,Team,Pts,GF,GA,GD
1,Man United,79,80,37,43
2,Arsenal,78,59,17,42
3,Chelsea,75,57,30,27
4,Leeds,67,62,34,28
5,West Ham,57,46,53,-7
6,Aston Villa,55,51,46,5
7,Liverpool,54,68,49,19
8,Derby,52,40,45,-5
9,Middlesbrough,51,48,54,-6
10,Leicester,49,40,46,-6
11,Tottenham,47,47,50,-3
12,Sheffield Weds,46,41,42,-1
13,Newcastle,46,48,54,-6
14,Everton,43,42,47,-5
15,Coventry,42,39,51,-12
16,Wimbledon,42,40,63,-23
17,Southampton,41,37,64,-27
18,Charlton,36,41,56,-15
19,Blackburn,35,38,52,-14
20,Nott'm Forest,30,35,69,-34
