rank,Team,Pts,GF,GA,GD
1,Man City,98,95,23,72
2,Liverpool,97,89,22,67
3,Chelsea,72,63,39,24
4,Tottenham,71,67,39,28
5,Arsenal,70,73,51,22
6,Man United,66,65,54,11
7,Wolves,57,47,46,1
8,Everton,54,54,46,8
9,Leicester,52,51,48,3
10,West Ham,52,52,55,-3
11,Watford,50,52,59,-7
12,Crystal Palace,49,51,53,-2
13,Newcastle,45,42,48,-6
14,Bournemouth,45,56,70,-14
15,Burnley,40,45,68,-23
16,Southampton,39,45,65,-20
17,Brighton,36,35,60,-25
18,Cardiff,34,34,69,-35
19,Fulham,26,34,81,-47
20,Huddersfield,16,22,76,-54
