rank,Team,Pts,GF,GA,GD
1,Man United,80,78,37,41
2,Chelsea,71,69,33,36
3,Man City,71,60,33,27
4,Arsenal,68,72,43,29
5,Tottenham,62,55,46,9
6,Liverpool,58,59,44,15
7,Everton,54,51,45,6
8,Fulham,49,49,43,6
9,Aston Villa,48,48,59,-11
10,Sunderland,47,45,56,-11
11,West Brom,47,56,71,-15
12,Newcastle,46,56,57,-1
13,Stoke,46,46,48,-2
14,Bolton,46,52,56,-4
15,Blackburn,43,46,59,-13
16,Wigan,42,40,61,-21
17,Wolves,40,46,66,-20
18,Birmingham,39,37,58,-21
19,Blackpool,39,55,78,-23
20,West Ham,33,43,70,-27
