rank,Team,Pts,GF,GA,GD
1,Chelsea,95,72,15,57
2,Arsenal,83,87,36,51
3,Man United,77,58,26,32
4,Everton,61,45,46,-1
5,Liverpool,58,52,41,11
6,Bolton,58,49,44,5
7,Middlesbrough,55,53,46,7
8,Man City,52,47,39,8
9,Tottenham,52,47,41,6
10,Aston Villa,47,45,52,-7
11,Charlton,46,42,58,-16
12,Birmingham,45,40,46,-6
13,Fulham,44,52,60,-8
14,Newcastle,44,47,57,-10
15,Blackburn,42,32,43,-11
16,Portsmouth,39,43,59,-16
17,West Brom,34,36,61,-25
18,Crystal Palace,33,41,62,-21
19,Norwich,33,42,77,-35
20,Southampton,32,45,66,-21
