rank,Team,Pts,GF,GA,GD
1,Arsenal,87,79,36,43
2,Liverpool,80,67,30,37
3,Man United,77,87,45,42
4,Newcastle,71,74,52,22
5,Leeds,66,53,37,16
6,Chelsea,64,66,38,28
7,West Ham,53,48,57,-9
8,Aston Villa,50,46,47,-1
9,Tottenham,50,49,53,-4
10,Blackburn,46,55,51,4
11,Southampton,45,46,54,-8
12,Middlesbrough,45,35,47,-12
13,Fulham,44,36,44,-8
14,Charlton,44,38,49,-11
15,Everton,43,45,57,-12
16,Bolton,40,44,62,-18
17,Sunderland,40,29,51,-22
18,Ipswich,36,41,64,-23
19,Derby,30,33,63,-30
20,Leicester,28,30,64,-34
